contig	input_name	organism	virus_seq_length	end_feature	gene_count	virion_hallmark_count	rep_hallmark_count	RDRP_hallmark_count	virion_hallmark_genes	rep_hallmark_genes	RDRP_hallmark_genes	taxonomy_hierarchy	ORF_caller	gcode	avg_read_depth
ct3_tubul_2a_1	NC_074762.1 |Xanthomonas phage XacF1 DNA, complete genome	Coriovirus sp. ctLVMOU	7325	None	13	2	2	0	Minor Head Virion Protein|Zonular occludens toxin (Zot)	Rep protein|Rep protein		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae;g_Coriovirus	prodigal-gv	11	NaN
ct3_tubul_2a_10	NC_001418.1 |Pseudomonas phage Pf3, complete genome	Tertilicivirus sp. ctAWJLH	5833	None	9	3	1	0	filamentous major capsid protein B|putative minor coat protein|Zonular occludens toxin (Zot)	Rep protein		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae;g_Tertilicivirus	prodigal-gv	11	NaN
ct3_tubul_2a_100	KF664568.1 |Vibrio phage CTX isolate recombinant CTX-RS1 plasmid pCTX-1 RstR (rstR), RstA (rstA), RstB (rstB), Cep (cep), OrfU (orfu), Ace (ace), Zot (zot), CtxA (ctxA), CtxB (ctxB), RstR (rstR), RstA (rstA), RstB (rstB), and RstC (rstC) genes, complete cds	Inoviridae sp. ctNWO5O	10621	None	16	4	2	0	Coat protein B|filamentous minor capsid protein|Minor Head Virion Protein|Zonular occludens toxin (Zot)	Replication initiation factor|Replication initiation factor		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae	prodigal-gv	11	NaN
ct3_tubul_2a_101	KF664579.1 |Vibrio phage CTX transgenic plasmid pCTX-1kan, complete sequence	Affertcholeramvirus sp. ct0H2KT	6969	None	10	4	1	0	Coat protein B|filamentous minor capsid protein|Minor Head Virion Protein|Zonular occludens toxin (Zot)	Replication initiation factor		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae;g_Affertcholeramvirus	prodigal-gv	11	NaN
ct3_tubul_2a_102	AB572858.1 |Vibrio phage ND1-fs1 DNA, complete genome	Fibrovirus sp. ct31Z9B	6856	None	10	3	1	0	putative minor coat protein|Zonular occludens toxin (Zot)|Major capsid protein 	Replication initiation factor		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae;g_Fibrovirus	prodigal-gv	11	NaN
ct3_tubul_2a_103	GQ466609.1 |Vibrio phage CTX strain IB1346 RstR (rstR), RstA (rstA), RstB (rstB), Cep (cep), hypothetical protein, Ace (ace), Zot (zot), CtxA (ctxA), CtxB (ctxB), RstR (rstR), RstA (rstA), RstB (rstB), Cep (cep), hypothetical protein, Ace (ace), Zot (zot), CtxA (ctxA), and CtxB (ctxB) genes, complete cds	Inoviridae sp. ctO8DEB	14898	None	21	8	2	0	Coat protein B|filamentous minor capsid protein|Minor Head Virion Protein|Zonular occludens toxin (Zot)|Coat protein B|filamentous minor capsid protein|Minor Head Virion Protein|Zonular occludens toxin (Zot)	Replication initiation factor|Replication initiation factor		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae	prodigal-gv	11	NaN
ct3_tubul_2a_104	GQ485647.1 |Vibrio phage CTX strain 12.02vp RstR (rstR), RstA (rstA), RstB (rstB), Cep (cep), hypothetical protein, Ace (ace), Zot (zot), CtxA (ctxA), CtxB (ctxB), RstR (rstR), RstA (rstA), RstB (rstB), Cep (cep), hypothetical protein, Ace (ace), Zot (zot), CtxA (ctxA), and CtxB (ctxB) genes, complete cds	Inoviridae sp. ctPPNXF	14874	None	21	8	2	0	Coat protein B|filamentous minor capsid protein|Minor Head Virion Protein|Zonular occludens toxin (Zot)|Coat protein B|filamentous minor capsid protein|Minor Head Virion Protein|Zonular occludens toxin (Zot)	Replication initiation factor|Replication initiation factor		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae	prodigal-gv	11	NaN
ct3_tubul_2a_105	GQ485654.1 |Vibrio phage CTX strain MG116926 RstR (rstR), RstA (rstA), RstB (rstB), RstC (rstC), RstR (rstR), RstA (rstA), RstB (rstB), and RstC (rstC) genes, complete cds	Inoviridae sp. ctLB3MA	6448	None	10	0	2	0		Replication initiation factor|Replication initiation factor		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae	prodigal-gv	11	NaN
ct3_tubul_2a_11	NC_001341.1 |Acholeplasma phage MV-L1, complete genome	unclassified virus sp. ctR194F	4491	None	10	0	0	0					prodigal-gv	11	NaN
ct3_tubul_2a_12	OR790969.1 |Pseudomonas phage PfAC02b, complete genome	Inoviridae sp. ctZ9PXS	13720	None	20	2	0	0	Minor Head Virion Protein|Zonular occludens toxin (Zot)			d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae	prodigal-gv	11	NaN
ct3_tubul_2a_13	OR801193.1 |Pseudomonas phage PfAC05, complete genome	Inoviridae sp. ctS7MP2	12329	None	20	2	0	0	Minor Head Virion Protein|Zonular occludens toxin (Zot)			d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae	prodigal-gv	11	NaN
ct3_tubul_2a_14	OP867012.1 |Shewanella phage Dolos, complete genome	Inoviridae sp. ctW7HEZ	8146	None	11	3	1	0	Filamentous Major Coat protein|Minor Head Virion Protein|Zonular occludens toxin (Zot)	Rep protein		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae	prodigal-gv	11	NaN
ct3_tubul_2a_15	OQ709403.1 |MAG: Inoviridae sp. isolate SHuIno3-2, complete genome	Tubulavirales sp. ctQKWYP	9351	None	16	1	1	0	Zonular occludens toxin (Zot)	Plasmid like replication protein		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales	prodigal-gv	11	NaN
ct3_tubul_2a_16	ON170021.1 |UNVERIFIED_ORG: Ralstonia phage YO003_3 sequence	Restivirus sp. ctJ36H1	7355	None	11	3	2	0	coat protein B|putative minor coat protein|Zonular occludens toxin (Zot)	Replication initiation factor|Replication regulatory protein RepB		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae;g_Restivirus	prodigal-gv	11	NaN
ct3_tubul_2a_17	ON170046.1 |UNVERIFIED_ORG: Ralstonia phage YO016_1 sequence	Inoviridae sp. ct5H1QD	9740	None	14	4	1	0	Filamenous Major Coat protein|Filamentous Major Coat protein|Minor Head Virion Protein|Zonular occludens toxin (Zot)	Rep protein		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae	prodigal-gv	11	NaN
ct3_tubul_2a_18	ON170069.1 |UNVERIFIED_ORG: Ralstonia phage YO029_2 sequence	Parhipatevirus sp. ct850TL	11668	None	17	4	2	0	Zonular occludens toxin (Zot)|Minor Head Virion Protein|Filamentous Major Coat protein|Filamenous Major Coat protein	Replication regulatory protein RepB|Replication initiation factor		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae;g_Parhipatevirus	prodigal-gv	11	NaN
ct3_tubul_2a_19	ON170093.1 |UNVERIFIED_ORG: Ralstonia phage YO047_2 sequence	Habenivirus sp. ct1VTDG	13152	None	19	3	1	0	Tail G7P protein|Minor Head Virion Protein|Zonular occludens toxin (Zot)	Rep protein		d_Viruses;-_Monodnaviria;k_Loebvirae;p_Hofneiviricota;c_Faserviricetes;o_Tubulavirales;f_Inoviridae;g_Habenivirus	prodigal-gv	11	NaN
