contig	input_name	organism	virus_seq_length	end_feature	gene_count	virion_hallmark_count	rep_hallmark_count	RDRP_hallmark_count	virion_hallmark_genes	rep_hallmark_genes	RDRP_hallmark_genes	taxonomy_hierarchy	ORF_caller	gcode	avg_read_depth
ct3_vinav_2a_1	BK062760.1 |TPA_inf: Marinomonas phage YY, complete genome	unclassified virus sp. ctM3UTP	8828	None	20	2	0	0	Major Capsid Protein|Large Terminase				prodigal-gv	11	NaN
ct3_vinav_2a_10	MZ230999.1 |Vibrio phage NO16-like 601_91, complete genome	unclassified virus sp. ct4VA2Q	10594	None	22	2	0	0	virion protein|Major Capsid protein			unclassified virus	prodigal-gv	11	NaN
ct3_vinav_2a_11	MZ231000.1 |Vibrio phage NO16-like 91-7-154, complete genome	unclassified virus sp. ctV2V5Z	10594	None	22	2	0	0	virion protein|Major Capsid protein			unclassified virus	prodigal-gv	11	NaN
ct3_vinav_2a_12	MZ231001.1 |Vibrio phage NO16-like 87-9-116, complete genome	unclassified virus sp. ct5QC9J	10593	None	22	2	0	0	virion protein|Major Capsid protein			unclassified virus	prodigal-gv	11	NaN
ct3_vinav_2a_13	NC_042121.1 |Pseudoalteromonas phage Cr39582, complete genome	Corticovirus sp. ctRKWW5	10584	None	19	3	1	0	Genome packaging NTPase|Major Capsid protein|virion protein	Rep protein		d_Viruses;-_Varidnaviria;k_Bamfordvirae;p_Preplasmiviricota;c_Tectiliviricetes;o_Vinavirales;f_Corticoviridae;g_Corticovirus	prodigal-gv	11	NaN
ct3_vinav_2a_14	MH730557.1 |Vibrio phage fNo16, complete genome	unclassified virus sp. ctG3R1R	10594	None	22	2	0	0	virion protein|Major Capsid protein			unclassified virus	prodigal-gv	11	NaN
ct3_vinav_2a_15	MH105080.1 |Marinomonas phage YY, complete genome	unclassified virus sp. ct9IED8	8828	None	20	2	0	0	Major Capsid Protein|Large Terminase				prodigal-gv	11	NaN
ct3_vinav_2a_16	MG966533.1 |Pseudoalteromonas phage Cr39582, complete genome	Corticovirus sp. ctHN5M7	10584	None	19	3	1	0	Genome packaging NTPase|Major Capsid protein|virion protein	Rep protein		d_Viruses;-_Varidnaviria;k_Bamfordvirae;p_Preplasmiviricota;c_Tectiliviricetes;o_Vinavirales;f_Corticoviridae;g_Corticovirus	prodigal-gv	11	NaN
ct3_vinav_2a_17	NC_000867.1 |Pseudoalteromonas phage PM2, complete genome	Corticovirus sp. ct5GAFN	10079	None	19	3	1	0	Genome packaging NTPase|Major Capsid protein|virion protein	Rep protein		d_Viruses;-_Varidnaviria;k_Bamfordvirae;p_Preplasmiviricota;c_Tectiliviricetes;o_Vinavirales;f_Corticoviridae;g_Corticovirus	prodigal-gv	11	NaN
ct3_vinav_2a_18	AF155037.1 |Pseudoalteromonas phage PM2, complete genome	Corticovirus sp. ctT8OW8	10079	None	19	3	1	0	Genome packaging NTPase|Major Capsid protein|virion protein	Rep protein		d_Viruses;-_Varidnaviria;k_Bamfordvirae;p_Preplasmiviricota;c_Tectiliviricetes;o_Vinavirales;f_Corticoviridae;g_Corticovirus	prodigal-gv	11	NaN
ct3_vinav_2a_2	OM867525.1 |Vibrio phage vB_VruC_PG21, complete genome	unclassified virus sp. ct7WBNN	10018	None	23	3	0	0	virion protein|Major Capsid protein|Genome packaging NTPase			unclassified virus	prodigal-gv	11	NaN
ct3_vinav_2a_3	MZ230992.1 |Vibrio phage NO16-like VIB134, complete genome	unclassified virus sp. ctXSJEK	10597	None	22	2	0	0	virion protein|Major Capsid protein			unclassified virus	prodigal-gv	11	NaN
ct3_vinav_2a_4	MZ230993.1 |Vibrio phage NO16-like VIB93, complete genome	unclassified virus sp. ct9CF32	10593	None	22	2	0	0	virion protein|Major Capsid protein			unclassified virus	prodigal-gv	11	NaN
ct3_vinav_2a_5	MZ230994.1 |Vibrio phage NO16-like VIB88, complete genome	unclassified virus sp. ctA1JLK	10593	None	22	2	0	0	virion protein|Major Capsid protein			unclassified virus	prodigal-gv	11	NaN
ct3_vinav_2a_6	MZ230995.1 |Vibrio phage NO16-like VIB1, complete genome	unclassified virus sp. ctDPJ1D	10593	None	22	2	0	0	virion protein|Major Capsid protein			unclassified virus	prodigal-gv	11	NaN
ct3_vinav_2a_7	MZ230996.1 |Vibrio phage NO16-like NB10, complete genome	unclassified virus sp. ctJH3CB	10594	None	22	2	0	0	virion protein|Major Capsid protein			unclassified virus	prodigal-gv	11	NaN
ct3_vinav_2a_8	MZ230997.1 |Vibrio phage NO16-like 9014_8, complete genome	unclassified virus sp. ctAYGFN	10594	None	22	2	0	0	virion protein|Major Capsid protein			unclassified virus	prodigal-gv	11	NaN
ct3_vinav_2a_9	MZ230998.1 |Vibrio phage NO16-like 1178_90, complete genome	unclassified virus sp. ct764GY	10594	None	22	2	0	0	virion protein|Major Capsid protein			unclassified virus	prodigal-gv	11	NaN
