gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
U02303.1_CDS_0001	1	291	+	U02303.1	19.2	8473	133.0	0.705	6.975e-39	p442143 VI_05575	8473	139.907379	3.7098886524665567e-41	No_custom_HMM	No_custom_HMM	No_custom_HMM	8473	Pyrodigal-gv_0.3.1	CDS	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
U02303.1_CDS_0002	294	392	+	U02303.1	4.3	7781	64.0	0.926	2.315e-16	JF719734_p4	7781	60.156525	3.1321220477902296e-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	7781	Pyrodigal-gv_0.3.1	CDS	#3e83f6	minor coat protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
U02303.1_CDS_0003	389	487	+	U02303.1	-0.4	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
U02303.1_CDS_0004	484	708	+	U02303.1	30.7	1646	87.0	0.588	2.58e-23	p443014 VI_02646	1646	92.271378	3.737795304827543e-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	1646	Pyrodigal-gv_0.3.1	CDS	#3e83f6	major coat protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
U02303.1_CDS_0005	776	2158	+	U02303.1	114.7	8482	692.0	0.745	2.186e-226	p440642 VI_11161	8482	602.533203	8.271206829481324e-181	No_custom_HMM	No_custom_HMM	No_custom_HMM	8482	Pyrodigal-gv_0.3.1	CDS	#3e83f6	attachment protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
U02303.1_CDS_0006	2161	2502	+	U02303.1	36.4	1944	135.0	0.602	3.673e-39	NC_001954_p6	1944	128.439606	3.3152928044211922e-37	No_custom_HMM	No_custom_HMM	No_custom_HMM	1944	Pyrodigal-gv_0.3.1	CDS	#3e83f6	minor head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
U02303.1_CDS_0007	2502	3563	+	U02303.1	75.8	1675	593.0	0.797	5.193e-193	p443643 VI_01773	1675	533.480469	5.839331991221565e-160	No_custom_HMM	No_custom_HMM	No_custom_HMM	1675	Pyrodigal-gv_0.3.1	CDS	#3e83f6	morphogenesis (protein I of M13)	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
U02303.1_CDS_0008	3544	4833	+	U02303.1	108.2	1012	444.0	0.553	1.962e-140	p443333 VI_09893	1012	450.995728	6.177637384901941e-135	No_custom_HMM	No_custom_HMM	No_custom_HMM	1012	Pyrodigal-gv_0.3.1	CDS	#3e83f6	assembly (protein IV of M13)	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
U02303.1_CDS_0009	5008	4820	-	U02303.1	4.4	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
U02303.1_CDS_0010	5310	5119	-	U02303.1	6.1	2503	95.0	0.782	1.639e-26	p382333 VI_06652	2503	94.056503	5.767810170946006e-27	No_custom_HMM	No_custom_HMM	No_custom_HMM	2503	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
U02303.1_CDS_0011	6040	7086	+	U02303.1	29.5	12300	346.0	0.689	9.737e-110	p268783 VI_06446	12300	396.455475	1.2156117467482875e-118	No_custom_HMM	No_custom_HMM	No_custom_HMM	12300	Pyrodigal-gv_0.3.1	CDS	#fea328	transposase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
U02303.1_CDS_0012	7316	7537	+	U02303.1	9.4	24563	49.0	0.473	5.169e-09	p440218 VI_08268	24563	34.402817	3.699374729969267e-08	No_custom_HMM	No_custom_HMM	No_custom_HMM	24563	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
U02303.1_CDS_0013	7494	8432	+	U02303.1	55.4	702	196.0	0.38	2.695e-56	p439551 VI_11958	702	317.638458	2.3443397806997765e-94	No_custom_HMM	No_custom_HMM	No_custom_HMM	702	Pyrodigal-gv_0.3.1	CDS	#ffdf59	replication protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MH617106.1_CDS_0001	306	49	-	MH617106.1	15.8	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MH617106.1_CDS_0002	1103	360	-	MH617106.1	69.7	25712	71.0	0.34	1.295e-15	NC_026582_p8	25712	86.594933	3.28015052173571e-24	No_custom_HMM	No_custom_HMM	No_custom_HMM	25712	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MH617106.1_CDS_0003	1321	1151	-	MH617106.1	8.0	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MH617106.1_CDS_0004	2216	1695	-	MH617106.1	65.7	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MH617106.1_CDS_0005	2404	2213	-	MH617106.1	9.5	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
