gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
MN585994.1_CDS_0001	356	1213	+	MN585994.1	39.4	940	396.0	0.81	5.605e-126	NC_028965_p1	940	426.152039	2.782350017052623e-127	No_custom_HMM	No_custom_HMM	No_custom_HMM	940	Pyrodigal-gv_0.3.1	CDS	#ffdf59	nuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0002	1210	1908	+	MN585994.1	95.3	4415	165.0	0.619	9.112e-48	NC_023564_p2	4415	303.290405	3.4383575448000365e-90	No_custom_HMM	No_custom_HMM	No_custom_HMM	4415	Pyrodigal-gv_0.3.1	CDS	#838383	peptidase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0003	1905	2126	+	MN585994.1	22.0	4347	75.0	0.487	7.763e-18	NC_031061_p32	4347	128.683792	1.3971830014523553e-37	No_custom_HMM	No_custom_HMM	No_custom_HMM	4347	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0004	2450	2920	+	MN585994.1	69.0	226	113.0	0.42	2.372e-29	p289398 VI_04112	226	170.413849	5.082602804957322e-50	No_custom_HMM	No_custom_HMM	No_custom_HMM	226	Pyrodigal-gv_0.3.1	CDS	#07e9a2	minor tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0005	3005	3976	+	MN585994.1	152.2	1260	444.0	0.523	6.140999999999999e-139	AP018486_p14	1260	518.894958	1.019298069002999e-155	No_custom_HMM	No_custom_HMM	No_custom_HMM	1260	Pyrodigal-gv_0.3.1	CDS	#07e9a2	minor tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0006	4237	4377	+	MN585994.1	24.7	1087	61.0	0.687	8.362e-14	KX657793_p9	1087	64.798553	9.760162986247106e-18	No_custom_HMM	No_custom_HMM	No_custom_HMM	1087	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0007	4377	5927	+	MN585994.1	175.0	317	418.0	0.522	1.664e-129	MF919504_p48	317	509.652466	2.1961862617205127e-152	No_custom_HMM	No_custom_HMM	No_custom_HMM	317	Pyrodigal-gv_0.3.1	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0008	5924	6310	+	MN585994.1	79.7	526	127.0	0.518	3.667e-35	MF141539_p8	526	133.073181	1.815369008339307e-38	No_custom_HMM	No_custom_HMM	No_custom_HMM	526	Pyrodigal-gv_0.3.1	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0009	6310	8097	+	MN585994.1	228.7	9	526.0	0.491	2.562e-165	NC_023862_p15	9	358.987274	1.6350775453645627e-106	No_custom_HMM	No_custom_HMM	No_custom_HMM	9	Pyrodigal-gv_0.3.1	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0010	8094	9584	+	MN585994.1	211.1	104	510.0	0.593	3.533e-161	NC_023862_p16	104	628.471619	2.022883618235477e-188	No_custom_HMM	No_custom_HMM	No_custom_HMM	104	Pyrodigal-gv_0.3.1	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0011	9581	10468	+	MN585994.1	81.5	193	201.0	0.378	5.544000000000001e-57	MG009575_p15	193	364.256073	3.157744792409261e-108	No_custom_HMM	No_custom_HMM	No_custom_HMM	193	Pyrodigal-gv_0.3.1	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0012	10521	11054	+	MN585994.1	81.2	233	94.0	0.397	1.7929999999999998e-23	p69105 VI_00766	233	168.568405	3.459520178375327e-49	No_custom_HMM	No_custom_HMM	No_custom_HMM	233	Pyrodigal-gv_0.3.1	CDS	#3e83f6	head scaffolding protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0013	11082	12050	+	MN585994.1	174.3	10	90.0	0.253	1.47e-19	p205037 VI_04338	10	244.376038	7.578329383026971e-72	No_custom_HMM	No_custom_HMM	No_custom_HMM	10	Pyrodigal-gv_0.3.1	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0014	12121	12345	+	MN585994.1	18.5	3101	52.0	0.393	4.572e-10	NC_023716_p17	3101	58.380009	1.7190987130782758e-15	No_custom_HMM	No_custom_HMM	No_custom_HMM	3101	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0015	12349	12726	+	MN585994.1	33.8	137	92.0	0.425	5.893e-23	NC_005345_p40	137	141.792114	3.9713023281670513e-41	No_custom_HMM	No_custom_HMM	No_custom_HMM	137	Pyrodigal-gv_0.3.1	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MN585994.1_CDS_0016	12723	12920	+	MN585994.1	11.0	830	103.0	0.994	3.3740000000000003e-28	NC_031031_p18	830	117.12735	4.424032579189611e-34	No_custom_HMM	No_custom_HMM	No_custom_HMM	830	Pyrodigal-gv_0.3.1	CDS	#35d7ff	head-tail connector protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
