locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
MT310045.1_1					phrog_514	VOG01687	PHROG:phrog_514	527	2e-220	727.9		major head protein
MT310045.1_2												Hypothetical
MT310045.1_3					phrog_11693	VOG06975	VOG:VOG06975	256	3.9e-34	114.2		hypothetical protein
MT310045.1_4					phrog_1642	VOG36852	VOG:VOG36852	177	5.6e-40	131.7		hypothetical protein
MT310045.1_5					phrog_10695		PHROG:phrog_10695	39	8.9e-19	62.5		hypothetical
MT310045.1_6					phrog_942	VOG04962	PHROG:phrog_942	306	4.3e-106	350.2		replication initiation protein
MT310045.1_7					phrog_1670	VOG36856	PHROG:phrog_1670	87	1.6e-25	84.0		DNA binding protein
MW202567.1_1					phrog_1670	VOG36856	PHROG:phrog_1670	97	6.2e-28	91.7		DNA binding protein
MW202567.1_2					phrog_514	VOG01687	PHROG:phrog_514	527	1.6e-218	721.6		major head protein
MW202567.1_3					phrog_11693	VOG06975	PHROG:phrog_11693	194	5.5e-35	116.5		pilot protein for DNA ejection
MW202567.1_4					phrog_1642	VOG36852	PHROG:phrog_1642	177	7.8e-37	121.5		virion structural protein
MW202567.1_5												Hypothetical
MW202567.1_6												Hypothetical
MW202567.1_7												Hypothetical
MW202567.1_8					phrog_942	VOG04962	PHROG:phrog_942	296	3.1e-106	350.6		replication initiation protein
MG945140.1_1					phrog_942	VOG04962	VOG:VOG04962	456	4.6e-29	96.2		hypothetical protein
MG945140.1_2												Hypothetical
MG945140.1_3												Hypothetical
MG945140.1_4					phrog_514, phrog_514	VOG01687, VOG01687	PHROG:phrog_514	852	2.4e-46	80.5		major head protein
MG945140.1_5												Hypothetical
MT135450.1_1												Hypothetical
MT135450.1_2												Hypothetical
MT135450.1_3												Hypothetical
MT135450.1_4					phrog_942	VOG04962	VOG:VOG04962	547	6.1e-22	73.2		hypothetical protein
MT135450.1_5												Hypothetical
MT135450.1_6												Hypothetical
MT135450.1_7												Hypothetical
MH572459.1_1					phrog_514	VOG01687	VOG:VOG01687	530	8.1e-172	567.4		major tail protein
MH572459.1_2					phrog_942	VOG04962	VOG:VOG04962	287	1.9e-74	246.3		hypothetical protein
MH572459.1_3												Hypothetical
MH572459.1_4					phrog_8689	VOG07022	PHROG:phrog_8689	343	3.5e-68	225.3		pilot protein for DNA ejection
MH572459.1_5												Hypothetical
MH572459.1_6												Hypothetical
MT310107.1_1					phrog_514	VOG01687	VOG:VOG01687	451	1.7e-108	358.5		major tail protein
MT310107.1_2												Hypothetical
MT310107.1_3												Hypothetical
MT310107.1_4					phrog_942	VOG04962	PHROG:phrog_942	266	1.2e-63	210.2		replication initiation protein
MT310107.1_5												Hypothetical
MK496797.1_1					phrog_514	VOG01687	PHROG:phrog_514	543	2e-219	724.6		major head protein
MK496797.1_2					phrog_18604	VOG06975	VOG:VOG06975	250	1.6e-20	69.3		hypothetical protein
MK496797.1_3												Hypothetical
MK496797.1_4												Hypothetical
MK496797.1_5					phrog_942	VOG04962	PHROG:phrog_942	358	7.5e-96	316.4		replication initiation protein
MK496797.1_6												Hypothetical
MK496797.1_7												Hypothetical
MK496797.1_8					phrog_1642	VOG36852	PHROG:phrog_1642	156	8.2e-28	92.4		virion structural protein
MK496708.1_1					phrog_514	VOG01687, VOG01687	PHROG:phrog_514	582	1.8e-122	404.6		major head protein
MK496708.1_2												Hypothetical
MK496708.1_3												Hypothetical
MK496708.1_4												Hypothetical
MK496708.1_5												Hypothetical
MK496708.1_6					phrog_942	VOG04962	PHROG:phrog_942	476	3.6e-55	180.8		replication initiation protein
MK496708.1_7												Hypothetical
MH572433.1_1					phrog_514	VOG01687	PHROG:phrog_514	526	3.8e-206	680.7		major head protein
MH572433.1_2					phrog_11693	VOG06975	PHROG:phrog_11693	225	2e-28	95.1		pilot protein for DNA ejection
MH572433.1_3					phrog_1642	VOG36852	PHROG:phrog_1642	146	1.8e-29	97.9		virion structural protein
MH572433.1_4					phrog_942	VOG04962	PHROG:phrog_942	320	3.5e-68	225.4		replication initiation protein
MH572433.1_5												Hypothetical
MH572433.1_6					phrog_1670	VOG36856	PHROG:phrog_1670	82	1.7e-25	83.9		DNA binding protein
MH572358.1_1					phrog_514	VOG01687	VOG:VOG01687	488	3.7e-132	436.5		major tail protein
MH572358.1_2												Hypothetical
MH572358.1_3					phrog_942	VOG04962	PHROG:phrog_942	316	8.7e-35	115.5		replication initiation protein
MH572358.1_4												Hypothetical
MH572358.1_5												Hypothetical
MG945466.1_1					phrog_942	VOG04962	VOG:VOG04962	308	2.8e-40	133.8		hypothetical protein
MG945466.1_2												Hypothetical
MG945466.1_3												Hypothetical
MG945466.1_4												Hypothetical
MG945466.1_5					phrog_514	VOG01687	VOG:VOG01687	624	8.2e-100	329.6		major tail protein
MG945466.1_6												Hypothetical
MG945466.1_7												Hypothetical
MG945466.1_8												Hypothetical
KX266398.1_1					phrog_713	VOG06231	VOG:VOG06231	555	3.6e-300	990.8		unknown similar to AMEV104
KX266398.1_2					phrog_1465	VOG36865	PHROG:phrog_1465	85	1.1e-49	161.8		terminase
KX266398.1_3					phrog_1386	VOG36866	VOG:VOG36866	153	9.6e-89	290.3		hypothetical protein
KX266398.1_4					phrog_514, phrog_514	VOG01687, VOG01687	PHROG:phrog_514	441	1.5e-128	242.6		major head protein
KX266398.1_5					phrog_1483	VOG36868	PHROG:phrog_1483	178	1.9e-85	280.3		major spike protein
KX266398.1_6					phrog_1471	VOG36867	PHROG:phrog_1471	338	2.6e-183	603.7		pilot protein for DNA ejection
MH616715.1_1					phrog_514, phrog_514	VOG01687, VOG01687	VOG:VOG01687	677	3.3e-54	110.7		major tail protein
MH616715.1_2												Hypothetical
MH616715.1_3												Hypothetical
MH616715.1_4					phrog_942	VOG04962	VOG:VOG04962	333	3.8e-32	106.9		hypothetical protein
MH616715.1_5												Hypothetical
MH616715.1_6												Hypothetical
MT208595.1_1					phrog_514	VOG01687	PHROG:phrog_514	528	5e-214	706.7		major head protein
MT208595.1_2					phrog_27063	VOG06975	PHROG:phrog_27063	283	2.9e-33	110.6		pilot protein for DNA ejection
MT208595.1_3					phrog_1642	VOG36852	PHROG:phrog_1642	155	6.1e-24	79.9		virion structural protein
MT208595.1_4					phrog_942	VOG04962	PHROG:phrog_942	340	1.3e-59	196.9		replication initiation protein
MT208595.1_5					phrog_1670		PHROG:phrog_1670	90	1.9e-19	64.4		DNA binding protein
MT202150.1_1					phrog_514	VOG01687	PHROG:phrog_514	544	1e-204	676.0		major head protein
MT202150.1_2												Hypothetical
MT202150.1_3					phrog_27063	VOG06975	VOG:VOG06975	228	1.4e-36	122.2		hypothetical protein
MT202150.1_4					phrog_1642	VOG36852	PHROG:phrog_1642	180	9.1e-42	137.7		virion structural protein
MT202150.1_5												Hypothetical
MT202150.1_6					phrog_942	VOG04962	PHROG:phrog_942	226	1.9e-82	272.4		replication initiation protein
