locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NC_074762.1_1					phrog_2969	VOG37001	VOG:VOG37001	360	2e-250	825.8		hypothetical protein
NC_074762.1_2					phrog_1199	VOG36851	VOG:VOG36851	99	2.1e-38	126.8		hypothetical protein
NC_074762.1_3					phrog_10162		PHROG:phrog_10162	67	1.7e-46	152.5		hypothetical
NC_074762.1_4					phrog_9281		PHROG:phrog_9281	86	1e-46	153.6		head protein
NC_074762.1_5					phrog_4454	VOG36920	PHROG:phrog_4454	493	6.4e-152	503.4		hypothetical
NC_074762.1_6					phrog_1242		PHROG:phrog_1242	106	2.3e-26	88.0		minor head protein
NC_074762.1_7		K10954	COG4128		phrog_197	VOG36850	VOG:VOG36850	389	2.5e-97	322.9		Protein OPG159
NC_074762.1_8					phrog_5529	VOG36918	VOG:VOG36918	216	6.3e-117	385.1		Uncharacterized protein gp15
NC_074762.1_9					phrog_7936		PHROG:phrog_7936	131	8.7e-67	219.6		hypothetical
NC_074762.1_10					phrog_34897	VOG36853	PHROG:phrog_34897	128	1.7e-75	250.1		hypothetical
NC_074762.1_11					phrog_638	VOG01236	VOG:VOG01236	153	3.6e-55	182.4		hypothetical protein
NC_074762.1_12					phrog_2181		PHROG:phrog_2181	63	5.4e-25	83.5		hypothetical
NC_074762.1_13					phrog_6294		PHROG:phrog_6294	43	2.2e-18	62.6		hypothetical
NC_073751.1_1					phrog_702	VOG06218	VOG:VOG06218	424	1.1e-272	900.3		hypothetical protein
NC_073751.1_2					phrog_1199	VOG36851	VOG:VOG36851	91	2.9e-36	119.9		hypothetical protein
NC_073751.1_3					phrog_19107	VOG06207	PHROG:phrog_19107	31	2.1e-19	65.5		minor head protein
NC_073751.1_4					phrog_28333		PHROG:phrog_28333	34	1.1e-23	79.3		minor head protein
NC_073751.1_5					phrog_1646	VOG36872	VOG:VOG36872	83	3.8e-33	109.8		hypothetical protein
NC_073751.1_6					phrog_4150	VOG06220, VOG06220	PHROG:phrog_4150	436	1.7e-199	659.4		virion structural protein
NC_073751.1_7					phrog_1944	VOG01881	VOG:VOG01881	117	1.9e-44	147.2		Highly immunogenic outer capsid protein
NC_073751.1_8		K10954			phrog_1675	VOG36873	VOG:VOG36873	366	2.8e-195	644.6		hypothetical protein
NC_073751.1_9		K02666	COG1450		phrog_1012	VOG36874	VOG:VOG36874	264	3.1e-81	269.2		gp6
NC_073751.1_10		K02453	COG1450		phrog_1012	VOG36874	VOG:VOG36874	159	1.5e-87	290.1		gp6
NC_073756.1_1					phrog_29172		PHROG:phrog_29172	513	2e-131	435.3		hypothetical
NC_073756.1_2					phrog_37130		PHROG:phrog_37130	89	6.2e-41	133.8		hypothetical
NC_073756.1_3					phrog_1864		PHROG:phrog_1864	72	7.5e-40	130.9		hypothetical
NC_073756.1_4					phrog_4515		PHROG:phrog_4515	175	1.1e-119	393.9		hypothetical
NC_073756.1_5					phrog_10578		PHROG:phrog_10578	128	1.9e-79	260.5		hypothetical
NC_073756.1_6					phrog_1144		PHROG:phrog_1144	145	5.4e-92	301.5		single strand DNA binding protein
NC_073756.1_7												Hypothetical
NC_073756.1_8					phrog_1147		PHROG:phrog_1147	84	3.6e-47	154.8		hypothetical
NC_073756.1_9					phrog_2145		PHROG:phrog_2145	83	8e-49	160.1		major head protein
NC_073756.1_10					phrog_815		PHROG:phrog_815	446	1.9e-147	488.0		hypothetical
NC_073756.1_11					phrog_306		PHROG:phrog_306	119	8.4e-45	148.6		minor head protein Ace-like
NC_073756.1_12		K10954	COG4128		phrog_1041	VOG36850	PHROG:phrog_1041	428	2.8e-185	612.7		CTXphi Zot-like toxin
NC_073756.1_13												Hypothetical
NC_073756.1_14					phrog_1159		PHROG:phrog_1159	331	1.3e-196	649.8		hypothetical
NC_073756.1_15		K14059	COG4974		phrog_1	VOG00056	VOG:VOG00056	347	1.6e-66	221.6		Replication-associated protein
NC_026582.1_1					phrog_27843	VOG36858	VOG:VOG36858	379	1.6e-271	896.0		head-tail connector protein
NC_026582.1_2						VOG07053	VOG:VOG07053	74	2e-47	155.7		hypothetical protein
NC_026582.1_3					phrog_24417	VOG36857	PHROG:phrog_24417	393	1.3e-215	711.7		hypothetical
NC_026582.1_4					phrog_22214	VOG36859	PHROG:phrog_22214	44	1.8e-31	104.3		hypothetical
NC_026582.1_5					phrog_24276	VOG36862	VOG:VOG36862	56	1.5e-39	130.6		Movement protein TGB2
NC_026582.1_6					phrog_27347	VOG36861	VOG:VOG36861	205	6.4e-143	469.8		hypothetical protein
NC_026582.1_7					phrog_27039	VOG36860	VOG:VOG36860	38	7.5e-30	99.1		hypothetical protein
NC_026582.1_8					phrog_25712	VOG05703	PHROG:phrog_25712	208	4.1e-150	493.1		hypothetical
NC_015297.1_1					phrog_4994	VOG36884	VOG:VOG36884	106	2.8e-69	226.5		hypothetical protein
NC_015297.1_2					phrog_6333	VOG36950	VOG:VOG36950	91	2.4e-43	143.1		hypothetical protein
NC_015297.1_3					phrog_4644	VOG06326	VOG:VOG06326	80	1e-34	115.1		hypothetical protein
NC_015297.1_4					phrog_2374		PHROG:phrog_2374	70	2e-21	72.3		hypothetical
NC_015297.1_5					phrog_4352	VOG37227	VOG:VOG37227	466	1.3e-254	841.9		clostripain precursor
NC_015297.1_6					phrog_1242	VOG01896	VOG:VOG01896	106	1.2e-36	121.6		hypothetical protein
NC_015297.1_7		K10954	COG4128		phrog_197	VOG36850	VOG:VOG36850	382	1.3e-104	346.9		Protein OPG159
NC_015297.1_8												Hypothetical
NC_015297.1_9			COG2946		phrog_453	VOG36849	VOG:VOG36849	385	1.1e-109	359.6		hypothetical protein
NC_012757.1_1					phrog_27563		PHROG:phrog_27563	114	9e-43	142.1		hypothetical
NC_012757.1_2			COG2946		phrog_453	VOG36849	VOG:VOG36849	258	2.5e-113	375.0		hypothetical protein
NC_012757.1_3					phrog_1410	VOG36903	VOG:VOG36903	113	1.1e-66	218.2		Uncharacterized protein L631
NC_012757.1_4					phrog_2924	VOG03439	PHROG:phrog_2924	82	1.1e-39	131.0		hypothetical
NC_012757.1_5					phrog_3354	VOG36904	PHROG:phrog_3354	45	5.6e-27	89.8		major capsid protein
NC_012757.1_6					phrog_1698	VOG03342	VOG:VOG03342	494	2.4e-247	818.1		hypothetical protein
