locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NC_074560.1_1		K03111	COG0629		phrog_44	VOG00906	PHROG:phrog_44	113	3.8e-50	166.2		single strand DNA binding protein
NC_074560.1_2												Hypothetical
NC_074560.1_3					phrog_8330	VOG37028	PHROG:phrog_8330	246	4.5e-30	99.8		genome terminal protein
NC_074560.1_4					phrog_1907	VOG00710	PHROG:phrog_1907	675	1.3e-81	270.9		DNA polymerase
NC_074560.1_5												Hypothetical
NC_074560.1_6					phrog_3502		PHROG:phrog_3502	67	7.6e-23	77.1		hypothetical
NC_074560.1_7					phrog_9714	VOG37221	VOG:VOG37221	46	2.1e-23	78.3		hypothetical protein
NC_074560.1_8												Hypothetical
NC_074560.1_9												Hypothetical
NC_074560.1_10					phrog_8764	VOG37056	PHROG:phrog_8764	121	5.6e-44	145.5		virion structural protein
NC_074560.1_11					phrog_9100	VOG37029	PHROG:phrog_9100	81	3e-50	164.7		hypothetical
NC_074560.1_12					phrog_29621	VOG37220	VOG:VOG37220	103	1.1e-68	224.1		hypothetical protein
NC_074560.1_13					phrog_2666	VOG01157	PHROG:phrog_2666	213	3.9e-77	255.2		terminase large subunit
NC_074560.1_14					phrog_8056	VOG37030	PHROG:phrog_8056	47	1.3e-33	110.8		hypothetical
NC_074560.1_15					phrog_7771	VOG37031	PHROG:phrog_7771	47	2.7e-32	106.6		hypothetical
NC_074560.1_16					phrog_9939	VOG37222	VOG:VOG37222	85	8.3e-53	173.0		Uncharacterized protein 9
NC_074560.1_17					phrog_5863	VOG06972	PHROG:phrog_5863	357	1.8e-193	638.2		minor head protein
NC_074560.1_18					phrog_8076	VOG37032	PHROG:phrog_8076	77	4.6e-47	154.4		hypothetical
NC_074560.1_19					phrog_4898	VOG00675	PHROG:phrog_4898	64	2.8e-24	80.0		holin
NC_074560.1_20					phrog_9080	VOG37033	PHROG:phrog_9080	142	8.9e-81	265.3		hypothetical
NC_074560.1_21					phrog_15071	VOG37034	VOG:VOG37034	59	8.6e-37	121.4		hypothetical protein
NC_074560.1_22					phrog_13072	VOG37035	PHROG:phrog_13072	49	8.6e-35	114.6		hypothetical
NC_074560.1_23					phrog_7846	VOG37036	PHROG:phrog_7846	92	1.9e-50	165.3		hypothetical
NC_074560.1_24					phrog_8814	VOG37224	VOG:VOG37224	205	1.3e-133	439.2		hypothetical protein
NC_074560.1_25			COG1705	GH73	phrog_8251	VOG37037	PHROG:phrog_8251	251	4e-160	527.1		endolysin
NC_074560.1_26					phrog_8240	VOG37038	PHROG:phrog_8240	171	2.1e-112	368.7		pentameric base spike protein
NC_074560.1_27					phrog_9224	VOG37039	PHROG:phrog_9224	298	1.8e-174	574.9		hypothetical
NC_074560.1_28					phrog_10120	VOG37223	PHROG:phrog_10120	293	1.3e-88	292.9		hypothetical
NC_074560.1_29	K01448	K01448	COG0860		phrog_435	VOG37273	VOG:VOG37273	264	6.4e-155	510.6		virion structural protein
NC_074561.1_1		K03111	COG0629		phrog_44	VOG00906	PHROG:phrog_44	113	3.1e-50	166.5		single strand DNA binding protein
NC_074561.1_2												Hypothetical
NC_074561.1_3					phrog_8330	VOG37028	PHROG:phrog_8330	246	5.7e-30	99.2		genome terminal protein
NC_074561.1_4					phrog_1907	VOG00710	PHROG:phrog_1907	675	9.7e-82	271.4		DNA polymerase
NC_074561.1_5												Hypothetical
NC_074561.1_6					phrog_3502		PHROG:phrog_3502	67	4.7e-21	71.3		hypothetical
NC_074561.1_7					phrog_8764	VOG37056	PHROG:phrog_8764	146	1.6e-53	176.1		virion structural protein
NC_074561.1_8					phrog_9100	VOG37029	PHROG:phrog_9100	81	4.1e-36	119.4		hypothetical
NC_074561.1_9					phrog_29621	VOG37220	VOG:VOG37220	100	5.6e-64	209.0		hypothetical protein
NC_074561.1_10					phrog_2666	VOG01157	PHROG:phrog_2666	213	1.1e-77	256.9		terminase large subunit
NC_074561.1_11					phrog_8056	VOG37030	PHROG:phrog_8056	47	3.4e-33	109.5		hypothetical
NC_074561.1_12					phrog_7771	VOG37031	PHROG:phrog_7771	47	3.5e-32	106.2		hypothetical
NC_074561.1_13					phrog_9939	VOG37222	PHROG:phrog_9939	90	2.3e-49	162.0		hypothetical
NC_074561.1_14					phrog_5863	VOG06972	PHROG:phrog_5863	357	2.9e-194	640.9		minor head protein
NC_074561.1_15					phrog_8076	VOG37032	PHROG:phrog_8076	77	1.6e-47	155.9		hypothetical
NC_074561.1_16					phrog_4898	VOG00675	PHROG:phrog_4898	53	1.1e-27	92.1		holin
NC_074561.1_17					phrog_9080	VOG37033	PHROG:phrog_9080	144	2.5e-92	302.7		hypothetical
NC_074561.1_18					phrog_15071	VOG37034	VOG:VOG37034	59	9.6e-36	118.1		hypothetical protein
NC_074561.1_19					phrog_13072	VOG37035	PHROG:phrog_13072	49	8.6e-35	114.6		hypothetical
NC_074561.1_20					phrog_7846	VOG37036	PHROG:phrog_7846	92	3.6e-49	161.3		hypothetical
NC_074561.1_21					phrog_8814	VOG37224	PHROG:phrog_8814	206	4.6e-89	293.3		hypothetical
