contig	gene_start	gene_stop	gene_name	gene_orient	contig_length	dtr_seq	evidence_acession	evidence_description	Evidence_source	vscore_category	chunk_name	chunk_length	chunk_start	chunk_stop
ct3_5_autoly_1a_1	65	223	ct3_5_autoly_1a_1_1	-	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	220	312	ct3_5_autoly_1a_1_2	-	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	309	491	ct3_5_autoly_1a_1_3	-	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	572	946	ct3_5_autoly_1a_1_4	-	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	1002	2603	ct3_5_autoly_1a_1_5	-	10611		PDB:2PYJ_B	DNA-polymerase-B	rep_hall_hmm	common_virus	NaN		0	10611
ct3_5_autoly_1a_1	2635	3342	ct3_5_autoly_1a_1_6	-	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	3378	4130	ct3_5_autoly_1a_1_7	+	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	4131	4631	ct3_5_autoly_1a_1_8	+	10611		PFAM:PF05707.11	DNA-packaging-NTPase	hallmark_hmm	common_virus	NaN		0	10611
ct3_5_autoly_1a_1	4649	4873	ct3_5_autoly_1a_1_9	+	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	4934	5050	ct3_5_autoly_1a_1_10	+	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	5096	5917	ct3_5_autoly_1a_1_11	+	10611		PDB:2W0C_J	Major-Capsid-protein	hallmark_hmm	common_virus	NaN		0	10611
ct3_5_autoly_1a_1	5989	6372	ct3_5_autoly_1a_1_12	+	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	6382	6525	ct3_5_autoly_1a_1_13	+	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	6525	6770	ct3_5_autoly_1a_1_14	+	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	6767	7126	ct3_5_autoly_1a_1_15	+	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	7126	7566	ct3_5_autoly_1a_1_16	+	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	7588	8151	ct3_5_autoly_1a_1_17	+	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	8151	9578	ct3_5_autoly_1a_1_18	+	10611		PFAM:PF03906.13	tail-fiber-protein	phrogs_hmm	hypothetical_protein	NaN		0	10611
ct3_5_autoly_1a_1	9578	10045	ct3_5_autoly_1a_1_19	+	10611		CDD:PHA02564	virion-protein	hallmark_hmm	common_virus	NaN		0	10611
ct3_5_autoly_1a_1	10064	10222	ct3_5_autoly_1a_1_20	+	10611			hypothetical protein		hypothetical_protein	NaN		0	10611
