locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NC_078097.1_1												Hypothetical
NC_078097.1_2												Hypothetical
NC_078098.1_1												Hypothetical
NC_040438.1_1												Hypothetical
NC_040438.1_2												Hypothetical
NC_040438.1_3												Hypothetical
NC_040439.1_1												Hypothetical
NC_040752.1_1												Hypothetical
NC_040752.1_2												Hypothetical
NC_040752.1_3												Hypothetical
NC_040753.1_1												Hypothetical
NC_038919.1_1												Hypothetical
NC_038919.1_2												Hypothetical
NC_038919.1_3												Hypothetical
NC_034160.1_1												Hypothetical
NC_034160.1_2												Hypothetical
NC_034161.1_1												Hypothetical
NC_035206.1_1												Hypothetical
NC_034452.1_1												Hypothetical
NC_029801.1_1												Hypothetical
NC_029801.1_2												Hypothetical
NC_029802.1_1												Hypothetical
NC_007026.1_1												Hypothetical
NC_007026.1_2												Hypothetical
NC_007027.1_1												Hypothetical
OM892324.1_1												Hypothetical
ON125118.1_1						VOG30494	VOG:VOG30494	501	1.5e-28	92.4		hypothetical protein
ON125118.1_2						VOG00007	VOG:VOG00007	504	2.8e-21	67.4		Genome polyprotein
MT846991.1_1												Hypothetical
MT846991.1_2												Hypothetical
MT846991.1_3												Hypothetical
MH425579.1_1												Hypothetical
MH425579.1_2												Hypothetical
MH425579.1_3												Hypothetical
MH425580.1_1												Hypothetical
MH425580.1_2												Hypothetical
MH425580.1_3												Hypothetical
MH425581.1_1												Hypothetical
MH425581.1_2												Hypothetical
MH425581.1_3												Hypothetical
MH425582.1_1												Hypothetical
MH425582.1_2												Hypothetical
MH425582.1_3												Hypothetical
MH425583.1_1												Hypothetical
MH425583.1_2												Hypothetical
MH425583.1_3												Hypothetical
MH425585.1_1												Hypothetical
MH425586.1_1												Hypothetical
MH425587.1_1												Hypothetical
MH425588.1_1												Hypothetical
MH425589.1_1												Hypothetical
MH425590.1_1												Hypothetical
KY120182.1_1												Hypothetical
KY120183.1_1												Hypothetical
KY120184.1_1												Hypothetical
KY120185.1_1												Hypothetical
KY120186.1_1												Hypothetical
KY120187.1_1												Hypothetical
KY120188.1_1												Hypothetical
KY120189.1_1												Hypothetical
KY120190.1_1												Hypothetical
KY120191.1_1												Hypothetical
KY120192.1_1												Hypothetical
KY120193.1_1												Hypothetical
MH327933.1_1												Hypothetical
MH327933.1_2												Hypothetical
MH327933.1_3												Hypothetical
MH327934.1_1												Hypothetical
KY855428.1_1												Hypothetical
KY855428.1_2												Hypothetical
KY855428.1_3												Hypothetical
KY855429.1_1												Hypothetical
KY855429.1_2												Hypothetical
KY855429.1_3												Hypothetical
KY855430.1_1												Hypothetical
KY855430.1_2												Hypothetical
KY855430.1_3												Hypothetical
KY855431.1_1												Hypothetical
KY855431.1_2												Hypothetical
KY855431.1_3												Hypothetical
MG190028.1_1												Hypothetical
MG190028.1_2												Hypothetical
MG190028.1_3												Hypothetical
MG190029.1_1												Hypothetical
KY214426.1_1												Hypothetical
KY214426.1_2												Hypothetical
KU729746.1_1												Hypothetical
KU729746.1_2												Hypothetical
KU729746.1_3												Hypothetical
KU729747.1_1												Hypothetical
KU729747.1_2												Hypothetical
KU729748.1_1												Hypothetical
KU729748.1_2												Hypothetical
KU729749.1_1												Hypothetical
KU729749.1_2												Hypothetical
KU729750.1_1												Hypothetical
KU729750.1_2												Hypothetical
KU729751.1_1												Hypothetical
KU729751.1_2												Hypothetical
KU729752.1_1												Hypothetical
KU729752.1_2												Hypothetical
KU729753.1_1												Hypothetical
KU729753.1_2												Hypothetical
KU729754.1_1												Hypothetical
KU729754.1_2												Hypothetical
KU729755.1_1												Hypothetical
KU729756.1_1												Hypothetical
KU729757.1_1												Hypothetical
KU729757.1_2												Hypothetical
KU729757.1_3												Hypothetical
KU729758.1_1												Hypothetical
KU729759.1_1												Hypothetical
KU729760.1_1												Hypothetical
KU729761.1_1												Hypothetical
KU729762.1_1												Hypothetical
KU729762.1_2												Hypothetical
KU729763.1_1												Hypothetical
KU729764.1_1												Hypothetical
KU729765.1_1												Hypothetical
KU729765.1_2												Hypothetical
KU729766.1_1												Hypothetical
KU729766.1_2												Hypothetical
KU729766.1_3												Hypothetical
KU729767.1_1												Hypothetical
KU729768.1_1												Hypothetical
KU729768.1_2												Hypothetical
KU729769.1_1						VOG00007	VOG:VOG00007	526	2.9e-20	63.9		Genome polyprotein
KR902502.1_1												Hypothetical
KR902502.1_2												Hypothetical
KR902502.1_3												Hypothetical
KR902503.1_1												Hypothetical
KR902503.1_2												Hypothetical
KR902504.1_1												Hypothetical
KR902504.1_2												Hypothetical
KR902504.1_3												Hypothetical
KR902505.1_1												Hypothetical
KR902506.1_1												Hypothetical
KR902506.1_2												Hypothetical
KR902507.1_1												Hypothetical
KR902508.1_1												Hypothetical
KR902508.1_2												Hypothetical
KF861767.1_1												Hypothetical
KF861767.1_2												Hypothetical
KF861768.1_1												Hypothetical
KF861768.1_2												Hypothetical
KF861769.1_1												Hypothetical
KF861769.1_2												Hypothetical
KF861770.1_1												Hypothetical
KF861770.1_2												Hypothetical
KF861771.1_1												Hypothetical
KF861771.1_2												Hypothetical
KF861772.1_1												Hypothetical
KF861772.1_2												Hypothetical
KF861773.1_1												Hypothetical
JQ776551.1_1												Hypothetical
JQ776551.1_2												Hypothetical
JQ776552.1_1												Hypothetical
