contig	gene_start	gene_stop	gene_name	gene_orient	contig_length	dtr_seq	evidence_acession	evidence_description	Evidence_source	vscore_category	chunk_name	chunk_length	chunk_start	chunk_stop
ct3_18_vina_1a_1	294	650	ct3_18_vina_1a_1_1	-	8828		PFAM:PF11351.7	Holin-of-3TMs	common_virus_hmm	common_virus	NaN		0	8828
ct3_18_vina_1a_1	655	831	ct3_18_vina_1a_1_2	-	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	828	1109	ct3_18_vina_1a_1_3	-	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	1106	1267	ct3_18_vina_1a_1_4	-	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	1272	1889	ct3_18_vina_1a_1_5	-	8828		cd13401	"70kDa soluble lytic transglycosylase (Slt70) and similar proteins. Catalytic domain of the 70kda soluble lytic transglycosylase (LT)-like proteins, which also have an N-terminal U-shaped U-domain and a linker L-domain. LTs catalyze the cleavage of the beta-1,4-glycosidic bond between N-acetylmuramic acid (MurNAc) and N-acetyl-D-glucosamine (GlcNAc), as do ""goose-type"" lysozymes. However, in addition to this, they also make a new glycosidic bond with the C6 hydroxyl group of the same muramic acid residue. Proteins similar to this family include the soluble and insoluble membrane-bound LTs in bacteria and the LTs in bacteriophage lambda."	mmseqs_cdd	nonviral_gene	NaN		0	8828
ct3_18_vina_1a_1	1889	2725	ct3_18_vina_1a_1_6	-	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	2728	3252	ct3_18_vina_1a_1_7	-	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	3242	3655	ct3_18_vina_1a_1_8	-	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	3652	3876	ct3_18_vina_1a_1_9	-	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	3881	4204	ct3_18_vina_1a_1_10	-	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	4273	5232	ct3_18_vina_1a_1_11	-	8828		PDB:2VVF_C	Major-Capsid-Protein	hallmark_hmm	common_virus	NaN		0	8828
ct3_18_vina_1a_1	5243	5353	ct3_18_vina_1a_1_12	-	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	5525	5890	ct3_18_vina_1a_1_13	+	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	5894	6388	ct3_18_vina_1a_1_14	+	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	6385	6936	ct3_18_vina_1a_1_15	+	8828		PDB:4KFU_C	Large-Terminase	hallmark_hmm	common_virus	NaN		0	8828
ct3_18_vina_1a_1	6942	7421	ct3_18_vina_1a_1_16	+	8828		PFAM:PF08291.10	Peptidase-M15	common_virus_hmm	common_virus	NaN		0	8828
ct3_18_vina_1a_1	7423	7659	ct3_18_vina_1a_1_17	+	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	7613	8272	ct3_18_vina_1a_1_18	+	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	8084	8578	ct3_18_vina_1a_1_19	-	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_1	8575	8826	ct3_18_vina_1a_1_20	-	8828			hypothetical protein		hypothetical_protein	NaN		0	8828
ct3_18_vina_1a_10	3	176	ct3_18_vina_1a_10_1	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	238	414	ct3_18_vina_1a_10_2	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	386	2287	ct3_18_vina_1a_10_3	-	10594		PFAM:PF05840.12	replication-initiation-protein	phrogs_hmm	hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	2287	2634	ct3_18_vina_1a_10_4	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	2631	2858	ct3_18_vina_1a_10_5	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	3005	3274	ct3_18_vina_1a_10_6	+	10594		PDB:4IA8_B	helix-turn-helix-protein	common_virus_hmm	common_virus	NaN		0	10594
ct3_18_vina_1a_10	3558	3989	ct3_18_vina_1a_10_7	+	10594		pfam12375	Phage protein. This family of proteins is found in bacteria and viruses. Proteins in this family are typically between 112 and 194 amino acids in length.	mmseqs_cdd	common_virus	NaN		0	10594
ct3_18_vina_1a_10	4016	4126	ct3_18_vina_1a_10_8	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	4362	4568	ct3_18_vina_1a_10_9	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	4565	4951	ct3_18_vina_1a_10_10	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	4929	5387	ct3_18_vina_1a_10_11	-	10594		CDD:PHA02564	virion-protein	hallmark_hmm	common_virus	NaN		0	10594
ct3_18_vina_1a_10	5326	5520	ct3_18_vina_1a_10_12	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	5522	6229	ct3_18_vina_1a_10_13	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	6229	6771	ct3_18_vina_1a_10_14	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	6771	7220	ct3_18_vina_1a_10_15	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	7223	7600	ct3_18_vina_1a_10_16	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	7581	7787	ct3_18_vina_1a_10_17	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	7799	8047	ct3_18_vina_1a_10_18	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	8061	8858	ct3_18_vina_1a_10_19	-	10594		PDB:2W0C_J	Major-Capsid-protein	hallmark_hmm	common_virus	NaN		0	10594
ct3_18_vina_1a_10	9162	9836	ct3_18_vina_1a_10_20	-	10594		PDB:4KFU_C	Genome-packaging-NTPase	common_virus_hmm	common_virus	NaN		0	10594
ct3_18_vina_1a_10	9820	10317	ct3_18_vina_1a_10_21	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_10	10310	10594	ct3_18_vina_1a_10_22	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	3	176	ct3_18_vina_1a_11_1	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	238	414	ct3_18_vina_1a_11_2	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	386	2287	ct3_18_vina_1a_11_3	-	10594		PFAM:PF05840.12	replication-initiation-protein	phrogs_hmm	hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	2287	2634	ct3_18_vina_1a_11_4	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	2631	2858	ct3_18_vina_1a_11_5	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	3005	3274	ct3_18_vina_1a_11_6	+	10594		PDB:4IA8_B	helix-turn-helix-protein	common_virus_hmm	common_virus	NaN		0	10594
ct3_18_vina_1a_11	3558	3989	ct3_18_vina_1a_11_7	+	10594		pfam12375	Phage protein. This family of proteins is found in bacteria and viruses. Proteins in this family are typically between 112 and 194 amino acids in length.	mmseqs_cdd	common_virus	NaN		0	10594
ct3_18_vina_1a_11	4016	4126	ct3_18_vina_1a_11_8	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	4362	4568	ct3_18_vina_1a_11_9	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	4565	4951	ct3_18_vina_1a_11_10	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	4929	5387	ct3_18_vina_1a_11_11	-	10594		CDD:PHA02564	virion-protein	hallmark_hmm	common_virus	NaN		0	10594
ct3_18_vina_1a_11	5326	5520	ct3_18_vina_1a_11_12	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	5522	6229	ct3_18_vina_1a_11_13	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	6229	6771	ct3_18_vina_1a_11_14	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	6771	7220	ct3_18_vina_1a_11_15	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	7223	7600	ct3_18_vina_1a_11_16	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	7581	7787	ct3_18_vina_1a_11_17	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	7799	8047	ct3_18_vina_1a_11_18	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	8061	8858	ct3_18_vina_1a_11_19	-	10594		PDB:2W0C_J	Major-Capsid-protein	hallmark_hmm	common_virus	NaN		0	10594
ct3_18_vina_1a_11	9162	9836	ct3_18_vina_1a_11_20	-	10594		PDB:4KFU_C	Genome-packaging-NTPase	common_virus_hmm	common_virus	NaN		0	10594
ct3_18_vina_1a_11	9820	10317	ct3_18_vina_1a_11_21	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_11	10310	10594	ct3_18_vina_1a_11_22	-	10594			hypothetical protein		hypothetical_protein	NaN		0	10594
ct3_18_vina_1a_12	3	173	ct3_18_vina_1a_12_1	-	10593			hypothetical protein		hypothetical_protein	NaN		0	10593
ct3_18_vina_1a_12	234	410	ct3_18_vina_1a_12_2	-	10593			hypothetical protein		hypothetical_protein	NaN		0	10593
ct3_18_vina_1a_12	382	2283	ct3_18_vina_1a_12_3	-	10593			hypothetical protein		hypothetical_protein	NaN		0	10593
ct3_18_vina_1a_12	2280	2633	ct3_18_vina_1a_12_4	-	10593			hypothetical protein		hypothetical_protein	NaN		0	10593
ct3_18_vina_1a_12	2630	2857	ct3_18_vina_1a_12_5	-	10593			hypothetical protein		hypothetical_protein	NaN		0	10593
ct3_18_vina_1a_12	3004	3273	ct3_18_vina_1a_12_6	+	10593		PDB:4IA8_B	helix-turn-helix-protein	common_virus_hmm	common_virus	NaN		0	10593
ct3_18_vina_1a_12	3557	3988	ct3_18_vina_1a_12_7	+	10593		pfam12375	Phage protein. This family of proteins is found in bacteria and viruses. Proteins in this family are typically between 112 and 194 amino acids in length.	mmseqs_cdd	common_virus	NaN		0	10593
ct3_18_vina_1a_12	4015	4125	ct3_18_vina_1a_12_8	-	10593			hypothetical protein		hypothetical_protein	NaN		0	10593
