contig	input_name	organism	virus_seq_length	end_feature	gene_count	virion_hallmark_count	rep_hallmark_count	RDRP_hallmark_count	virion_hallmark_genes	rep_hallmark_genes	RDRP_hallmark_genes	taxonomy_hierarchy	ORF_caller	gcode	avg_read_depth
ct3_DRR290133_1b_1	u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00 (with DTR)	Caudoviricetes sp. ctCYATU	32556	DTR	42	7	0	0	Large Terminase|minor capsid protein|Portal protein|tail tape measure protein |Virion morphogenesis family|Major Capsid protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_10	u2376129ctg_len-34834_circular-yes_depth-25-16-6_mult-1.00 (with DTR)	Caudoviricetes sp. ctFOOGW	34864	DTR	50	12	0	0	Portal protein|prohead serine protease|Major Capsid Protein|Head Tail Connector Protein|Head Tail Connector protein|tail component|tail component|major tail protein|tail tape measure protein |Structural protein |Large Terminase|Small Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_101	u1368244ctg_len-36052_circular-yes_depth-8-8-4_mult-1.00 (with DTR)	Caudoviricetes sp. ctF4KM5	36082	DTR	54	7	0	0	Large Terminase|Portal Protein|prohead serine protease|Major Capsid Protein|head to tail adaptor|major tail protein|tail tape measure protein 			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_103	u603648ctg_len-43677_circular-yes_depth-9-9-2_mult-1.00 (with DTR)	Caudoviricetes sp. ctYDSZH	43707	DTR	58	3	0	0	Terminase small subunit|Large Terminase|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_105	u2561210ctg_len-65126_circular-yes_depth-9-9-4_mult-1.00 (with DTR)	Caudoviricetes sp. ctZOSRL	65156	DTR	58	3	1	0	DNA packaging protein|Portal Protein|Major Capsid Protein	DNAB Like Replicative Helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_106	u866447ctg_len-31999_circular-yes_depth-9-9-1_mult-1.00 (with DTR)	Caudoviricetes sp. ctCYLZX	32029	DTR	49	7	1	0	Terminase small subunit|Large Terminase|Putative phage serine protease XkdF|Major Capsid Protein|Portal Protein|Capsid decoration protein |Baseplate protein 	Replication protein E1		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_107	u2445578ctg_len-47415_circular-yes_depth-12-5-3_mult-1.00 (with DTR)	Caudoviricetes sp. ct9IA8V	47445	DTR	60	2	0	0	Major Capsid Protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_108	u1326652ctg_len-36681_circular-yes_depth-9-9-4_mult-1.00 (with DTR)	Caudoviricetes sp. ctU59SE	36711	DTR	49	7	0	0	Large Terminase|Portal Protein|minor capsid protein|Major Capsid protein|putative tail component|tail completion protein|minor tail protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_109	u905195ctg_len-28800_circular-yes_depth-8-7-7_mult-1.00 (with DTR)	Caudoviricetes sp. ctH5NFN	28830	DTR	49	4	1	0	type I neck protein|Portal protein|Large Terminase|Major Capsid protein	replicative DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_11	u185116ctg_len-33610_circular-yes_depth-18-16-10_mult-1.00 (with DTR)	Caudoviricetes sp. ctMGN6X	33640	DTR	46	10	0	0	minor tail protein|Large Terminase|Portal Protein|minor capsid protein|minor structural protein|Major Capsid protein|head closure knob|putative tail component|tail completion protein|minor tail protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
