locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
BK062760.1_1					phrog_2524	VOG10042	VOG:VOG10042	119	8.5e-26	85.0		hypothetical protein
BK062760.1_2												Hypothetical
BK062760.1_3												Hypothetical
BK062760.1_4												Hypothetical
BK062760.1_5		K08309	COG0741				KEGG:K08309	206	2.8e-31	103.9	4.2.2.-	Soluble lytic murein transglycosylase
BK062760.1_6												Hypothetical
BK062760.1_7												Hypothetical
BK062760.1_8												Hypothetical
BK062760.1_9												Hypothetical
BK062760.1_10												Hypothetical
BK062760.1_11												Hypothetical
BK062760.1_12					phrog_2666		PHROG:phrog_2666	184	1.3e-20	68.6		terminase large subunit
BK062760.1_13		K08640	COG3108		phrog_894	VOG02154	VOG:VOG02154	160	1.5e-36	120.7		Uncharacterized protein HI_1489
BK062760.1_14												Hypothetical
BK062760.1_15												Hypothetical
BK062760.1_16												Hypothetical
BK062760.1_17												Hypothetical
OM867525.1_1					phrog_1668		PHROG:phrog_1668	139	3.2e-23	76.4		tail assembly protein
OM867525.1_2												Hypothetical
OM867525.1_3												Hypothetical
OM867525.1_4					phrog_8494		PHROG:phrog_8494	68	3.5e-32	104.4		hypothetical
OM867525.1_5												Hypothetical
OM867525.1_6					phrog_873	VOG01992	PHROG:phrog_873	128	7.6e-55	180.6		endolysin
OM867525.1_7												Hypothetical
OM867525.1_8												Hypothetical
OM867525.1_9												Hypothetical
OM867525.1_10												Hypothetical
OM867525.1_11												Hypothetical
OM867525.1_12												Hypothetical
OM867525.1_13					phrog_8536	VOG20608	VOG:VOG20608	264	4e-51	167.6		hypothetical protein
OM867525.1_14												Hypothetical
OM867525.1_15					phrog_2666	VOG01157	PHROG:phrog_2666	217	9.8e-41	134.4		terminase large subunit
OM867525.1_16												Hypothetical
OM867525.1_17												Hypothetical
OM867525.1_18												Hypothetical
OM867525.1_19												Hypothetical
OM867525.1_20												Hypothetical
OM867525.1_21												Hypothetical
OM867525.1_22					phrog_4441		PHROG:phrog_4441	94	1.4e-26	87.3		HTH DNA binding protein
MZ230992.1_1_1												Hypothetical
MZ230992.1_1_2												Hypothetical
MZ230992.1_1_3					phrog_38601, phrog_38601	VOG30107, VOG30107	PHROG:phrog_38601	634	1.2e-197	412.2		hypothetical
MZ230992.1_1_4												Hypothetical
MZ230992.1_1_5					phrog_13957		PHROG:phrog_13957	76	1.1e-28	93.5		hypothetical
MZ230992.1_4_1												Hypothetical
MZ230992.1_4_2					phrog_8213		PHROG:phrog_8213	144	1.1e-62	204.4		hypothetical
MZ230992.1_4_3												Hypothetical
MZ230992.1_4_4												Hypothetical
MZ230992.1_4_5												Hypothetical
MZ230992.1_4_6					phrog_873	VOG01992	PHROG:phrog_873	153	4.2e-50	165.0		endolysin
MZ230992.1_4_7												Hypothetical
MZ230992.1_4_8												Hypothetical
MZ230992.1_4_9												Hypothetical
MZ230992.1_4_10												Hypothetical
MZ230992.1_4_11												Hypothetical
MZ230992.1_4_12												Hypothetical
MZ230992.1_4_13												Hypothetical
MZ230992.1_4_14					phrog_8536	VOG20608	VOG:VOG20608	266	2.5e-45	147.4		hypothetical protein
MZ230992.1_4_15												Hypothetical
MZ230992.1_4_16												Hypothetical
MZ230992.1_4_17					phrog_2666	VOG01157	PHROG:phrog_2666	225	4.6e-33	109.3		terminase large subunit
MZ230992.1_4_18												Hypothetical
MZ230992.1_4_19												Hypothetical
MZ230993.1_1												Hypothetical
MZ230993.1_2												Hypothetical
MZ230993.1_3					phrog_38601, phrog_38601	VOG30107, VOG30107	PHROG:phrog_38601	634	3.6e-196	411.8		hypothetical
MZ230993.1_4												Hypothetical
MZ230993.1_5					phrog_13957		PHROG:phrog_13957	76	1.9e-29	96.0		hypothetical
MZ230993.1_6					phrog_4441		PHROG:phrog_4441	90	4.2e-28	92.1		HTH DNA binding protein
MZ230993.1_7					phrog_8213		PHROG:phrog_8213	144	1.1e-62	204.4		hypothetical
MZ230993.1_8												Hypothetical
MZ230993.1_9												Hypothetical
MZ230993.1_10												Hypothetical
MZ230993.1_11					phrog_873	VOG01992	PHROG:phrog_873	153	4.2e-50	165.0		endolysin
MZ230993.1_12												Hypothetical
MZ230993.1_13												Hypothetical
MZ230993.1_14												Hypothetical
MZ230993.1_15												Hypothetical
MZ230993.1_16												Hypothetical
MZ230993.1_17												Hypothetical
MZ230993.1_18												Hypothetical
MZ230993.1_19					phrog_8536	VOG20608	VOG:VOG20608	266	2.5e-45	147.4		hypothetical protein
MZ230993.1_20												Hypothetical
MZ230993.1_21												Hypothetical
MZ230993.1_22					phrog_2666	VOG01157	PHROG:phrog_2666	225	4.6e-33	109.3		terminase large subunit
MZ230993.1_23												Hypothetical
MZ230993.1_24												Hypothetical
MZ230994.1_1												Hypothetical
MZ230994.1_2												Hypothetical
MZ230994.1_3					phrog_38601, phrog_38601	VOG30107, VOG30107	PHROG:phrog_38601	634	3.6e-196	411.8		hypothetical
MZ230994.1_4												Hypothetical
MZ230994.1_5					phrog_13957		PHROG:phrog_13957	76	1.9e-29	96.0		hypothetical
MZ230994.1_6					phrog_4441		PHROG:phrog_4441	90	4.2e-28	92.1		HTH DNA binding protein
MZ230994.1_7					phrog_8213		PHROG:phrog_8213	144	1.1e-62	204.4		hypothetical
MZ230994.1_8												Hypothetical
MZ230994.1_9												Hypothetical
MZ230994.1_10												Hypothetical
MZ230994.1_11					phrog_873	VOG01992	PHROG:phrog_873	153	4.2e-50	165.0		endolysin
MZ230994.1_12												Hypothetical
MZ230994.1_13												Hypothetical
MZ230994.1_14												Hypothetical
MZ230994.1_15												Hypothetical
MZ230994.1_16												Hypothetical
MZ230994.1_17												Hypothetical
MZ230994.1_18												Hypothetical
MZ230994.1_19					phrog_8536	VOG20608	VOG:VOG20608	266	2.5e-45	147.4		hypothetical protein
MZ230994.1_20												Hypothetical
MZ230994.1_21												Hypothetical
MZ230994.1_22					phrog_2666	VOG01157	PHROG:phrog_2666	225	4.6e-33	109.3		terminase large subunit
MZ230994.1_23												Hypothetical
MZ230994.1_24												Hypothetical
