contig	contig_length	chunk_length	chunk_name	chunk_start	chunk_stop
ct3_DRR290133_1b_1	32556	32556	NaN	0	32556
ct3_DRR290133_1b_10	34864	34864	NaN	0	34864
ct3_DRR290133_1b_101	36082	36082	NaN	0	36082
ct3_DRR290133_1b_103	43707	43707	NaN	0	43707
ct3_DRR290133_1b_105	65156	65156	NaN	0	65156
ct3_DRR290133_1b_106	32029	32029	NaN	0	32029
ct3_DRR290133_1b_107	47445	47445	NaN	0	47445
ct3_DRR290133_1b_108	36711	36711	NaN	0	36711
ct3_DRR290133_1b_109	28830	28830	NaN	0	28830
ct3_DRR290133_1b_11	33640	33640	NaN	0	33640
ct3_DRR290133_1b_110	37959	37959	NaN	0	37959
ct3_DRR290133_1b_111	26333	26333	NaN	0	26333
ct3_DRR290133_1b_112	57623	57623	NaN	0	57623
ct3_DRR290133_1b_114	27144	27144	NaN	0	27144
ct3_DRR290133_1b_115	31832	31832	NaN	0	31832
ct3_DRR290133_1b_116	29478	29478	NaN	0	29478
ct3_DRR290133_1b_117	35701	35701	NaN	0	35701
ct3_DRR290133_1b_118	30328	30328	NaN	0	30328
ct3_DRR290133_1b_119	32723	32723	NaN	0	32723
ct3_DRR290133_1b_12	44057	44057	NaN	0	44057
ct3_DRR290133_1b_120	31675	31675	NaN	0	31675
ct3_DRR290133_1b_125	17248	17248	NaN	0	17248
ct3_DRR290133_1b_129	2874930	7142	C85	1339016	1346158
ct3_DRR290133_1b_13	35243	35243	NaN	0	35243
ct3_DRR290133_1b_131	30139	30139	NaN	0	30139
ct3_DRR290133_1b_132	20613	20613	NaN	0	20613
ct3_DRR290133_1b_133	2944108	51551	C59	750924	802475
ct3_DRR290133_1b_134	3192097	35957	C115	1736819	1772776
ct3_DRR290133_1b_135	75276	75276	NaN	0	75276
ct3_DRR290133_1b_136	178170	178170	NaN	0	178170
ct3_DRR290133_1b_137	28226	28226	NaN	0	28226
ct3_DRR290133_1b_138	72341	72341	NaN	0	72341
ct3_DRR290133_1b_14	32623	32623	NaN	0	32623
ct3_DRR290133_1b_140	36061	36061	NaN	0	36061
ct3_DRR290133_1b_144	27459	27459	NaN	0	27459
ct3_DRR290133_1b_146	27446	27446	NaN	0	27446
ct3_DRR290133_1b_148	27551	27551	NaN	0	27551
ct3_DRR290133_1b_149	30934	30934	NaN	0	30934
ct3_DRR290133_1b_15	37986	37986	NaN	0	37986
ct3_DRR290133_1b_150	31063	31063	NaN	0	31063
ct3_DRR290133_1b_151	25712	25712	NaN	0	25712
ct3_DRR290133_1b_152	5637618	29303	C163	1762356	1791659
ct3_DRR290133_1b_154	31233	31233	NaN	0	31233
ct3_DRR290133_1b_155	31296	31296	NaN	0	31296
ct3_DRR290133_1b_157	4565809	25703	C38	405405	431108
ct3_DRR290133_1b_158	30894	30894	NaN	0	30894
ct3_DRR290133_1b_159	62389	62389	NaN	0	62389
ct3_DRR290133_1b_160	30356	30356	NaN	0	30356
ct3_DRR290133_1b_161	5939573	19720	C41	641030	660750
ct3_DRR290133_1b_161	5939573	38077	C199	2942197	2980274
ct3_DRR290133_1b_161	5939573	18545	C235	3534056	3552601
ct3_DRR290133_1b_162	30873	30873	NaN	0	30873
ct3_DRR290133_1b_164	27680	27680	NaN	0	27680
ct3_DRR290133_1b_165	26666	26666	NaN	0	26666
ct3_DRR290133_1b_166	939255	939255	NaN	0	939255
ct3_DRR290133_1b_167	118790	118790	NaN	0	118790
ct3_DRR290133_1b_168	92266	92266	NaN	0	92266
ct3_DRR290133_1b_170	34774	34774	NaN	0	34774
ct3_DRR290133_1b_171	31281	31281	NaN	0	31281
ct3_DRR290133_1b_172	27691	27691	NaN	0	27691
ct3_DRR290133_1b_173	25944	25944	NaN	0	25944
ct3_DRR290133_1b_174	30648	30648	NaN	0	30648
ct3_DRR290133_1b_175	26271	26271	NaN	0	26271
ct3_DRR290133_1b_176	26050	26050	NaN	0	26050
ct3_DRR290133_1b_178	2989652	25529	C1	9618	35147
ct3_DRR290133_1b_179	41380	41380	NaN	0	41380
ct3_DRR290133_1b_180	30161	30161	NaN	0	30161
ct3_DRR290133_1b_181	26214	26214	NaN	0	26214
ct3_DRR290133_1b_182	30810	30810	NaN	0	30810
ct3_DRR290133_1b_183	31529	31529	NaN	0	31529
ct3_DRR290133_1b_184	30435	30435	NaN	0	30435
ct3_DRR290133_1b_185	31293	31293	NaN	0	31293
ct3_DRR290133_1b_186	69365	69365	NaN	0	69365
ct3_DRR290133_1b_189	28901	28901	NaN	0	28901
ct3_DRR290133_1b_19	4903769	69559	C0	0	69559
ct3_DRR290133_1b_19	4903769	37678	C210	2463922	2501600
ct3_DRR290133_1b_19	4903769	42466	C324	4012538	4055004
ct3_DRR290133_1b_19	4903769	17531	C358	4448216	4465747
ct3_DRR290133_1b_190	25787	25787	NaN	0	25787
ct3_DRR290133_1b_191	30404	30404	NaN	0	30404
ct3_DRR290133_1b_192	34651	34651	NaN	0	34651
ct3_DRR290133_1b_193	49766	49766	NaN	0	49766
ct3_DRR290133_1b_195	93577	93577	NaN	0	93577
ct3_DRR290133_1b_196	86274	86274	NaN	0	86274
ct3_DRR290133_1b_197	26739	26739	NaN	0	26739
ct3_DRR290133_1b_198	29328	29328	NaN	0	29328
ct3_DRR290133_1b_199	25053	25053	NaN	0	25053
ct3_DRR290133_1b_2	20911	20911	NaN	0	20911
ct3_DRR290133_1b_20	2852516	30912	C160	2694107	2725019
ct3_DRR290133_1b_200	25051	25051	NaN	0	25051
ct3_DRR290133_1b_204	30785	30785	NaN	0	30785
ct3_DRR290133_1b_205	31581	31581	NaN	0	31581
ct3_DRR290133_1b_209	38522	38522	NaN	0	38522
ct3_DRR290133_1b_21	137288	137288	NaN	0	137288
ct3_DRR290133_1b_210	30726	30726	NaN	0	30726
ct3_DRR290133_1b_212	25819	25819	NaN	0	25819
ct3_DRR290133_1b_213	54204	54204	NaN	0	54204
ct3_DRR290133_1b_214	40182	40182	NaN	0	40182
ct3_DRR290133_1b_215	94316	94316	NaN	0	94316
ct3_DRR290133_1b_216	28098	28098	NaN	0	28098
ct3_DRR290133_1b_218	9871044	2490	C203	2816813	2819303
ct3_DRR290133_1b_218	9871044	2490	C595	7705715	7708205
ct3_DRR290133_1b_219	27820	27820	NaN	0	27820
ct3_DRR290133_1b_220	19852	19852	NaN	0	19852
ct3_DRR290133_1b_221	19852	19852	NaN	0	19852
ct3_DRR290133_1b_222	3594232	77188	C47	711550	788738
ct3_DRR290133_1b_222	3594232	21605	C209	3411584	3433189
ct3_DRR290133_1b_223	26632	26632	NaN	0	26632
ct3_DRR290133_1b_224	31305	31305	NaN	0	31305
ct3_DRR290133_1b_225	34999	34999	NaN	0	34999
ct3_DRR290133_1b_226	40517	40517	NaN	0	40517
ct3_DRR290133_1b_228	116431	116431	NaN	0	116431
ct3_DRR290133_1b_229	54377	54377	NaN	0	54377
ct3_DRR290133_1b_23	63559	63559	NaN	0	63559
ct3_DRR290133_1b_232	34254	34254	NaN	0	34254
ct3_DRR290133_1b_233	28008	28008	NaN	0	28008
ct3_DRR290133_1b_236	3709785	38509	C58	928548	967057
ct3_DRR290133_1b_236	3709785	23811	C188	3087552	3111363
ct3_DRR290133_1b_238	34982	34982	NaN	0	34982
ct3_DRR290133_1b_239	31761	31761	NaN	0	31761
ct3_DRR290133_1b_24	39453	39453	NaN	0	39453
ct3_DRR290133_1b_240	28842	28842	NaN	0	28842
ct3_DRR290133_1b_242	2469610	29082	C55	900222	929304
ct3_DRR290133_1b_243	68500	68500	NaN	0	68500
ct3_DRR290133_1b_245	32370	32370	NaN	0	32370
ct3_DRR290133_1b_246	32535	32535	NaN	0	32535
ct3_DRR290133_1b_247	36398	36398	NaN	0	36398
ct3_DRR290133_1b_248	130060	130060	NaN	0	130060
ct3_DRR290133_1b_25	55890	55890	NaN	0	55890
ct3_DRR290133_1b_250	178807	178807	NaN	0	178807
ct3_DRR290133_1b_252	39876	39876	NaN	0	39876
ct3_DRR290133_1b_253	38818	38818	NaN	0	38818
ct3_DRR290133_1b_254	69502	69502	NaN	0	69502
ct3_DRR290133_1b_255	25660	25660	NaN	0	25660
ct3_DRR290133_1b_257	31816	31816	NaN	0	31816
ct3_DRR290133_1b_258	3941455	60083	C31	749848	809931
ct3_DRR290133_1b_258	3941455	18782	C39	926914	945696
ct3_DRR290133_1b_258	3941455	45856	C41	951305	997161
ct3_DRR290133_1b_258	3941455	21947	C57	1246706	1268653
ct3_DRR290133_1b_258	3941455	38853	C63	1345611	1384464
ct3_DRR290133_1b_258	3941455	105868	C81	1886665	1992533
ct3_DRR290133_1b_258	3941455	35835	C103	2279627	2315462
ct3_DRR290133_1b_258	3941455	22205	C135	2633093	2655298
ct3_DRR290133_1b_26	34056	34056	NaN	0	34056
ct3_DRR290133_1b_260	33371	33371	NaN	0	33371
ct3_DRR290133_1b_261	53553	53553	NaN	0	53553
ct3_DRR290133_1b_262	28111	28111	NaN	0	28111
ct3_DRR290133_1b_263	30612	30612	NaN	0	30612
ct3_DRR290133_1b_265	112459	112459	NaN	0	112459
ct3_DRR290133_1b_266	46326	46326	NaN	0	46326
ct3_DRR290133_1b_267	33863	33863	NaN	0	33863
ct3_DRR290133_1b_269	39386	39386	NaN	0	39386
ct3_DRR290133_1b_27	57975	57975	NaN	0	57975
ct3_DRR290133_1b_271	27548	27548	NaN	0	27548
ct3_DRR290133_1b_272	27873	27873	NaN	0	27873
ct3_DRR290133_1b_273	3378811	28203	C32	394616	422819
ct3_DRR290133_1b_273	3378811	41011	C164	2581287	2622298
ct3_DRR290133_1b_274	27097	27097	NaN	0	27097
ct3_DRR290133_1b_275	535928	535928	NaN	0	535928
ct3_DRR290133_1b_276	64968	64968	NaN	0	64968
ct3_DRR290133_1b_277	29584	29584	NaN	0	29584
ct3_DRR290133_1b_278	34235	34235	NaN	0	34235
ct3_DRR290133_1b_279	31336	31336	NaN	0	31336
ct3_DRR290133_1b_28	36285	36285	NaN	0	36285
ct3_DRR290133_1b_280	26787	26787	NaN	0	26787
ct3_DRR290133_1b_281	26098	26098	NaN	0	26098
ct3_DRR290133_1b_282	27591	27591	NaN	0	27591
ct3_DRR290133_1b_284	3761441	15695	C85	1357694	1373389
ct3_DRR290133_1b_285	84982	84982	NaN	0	84982
ct3_DRR290133_1b_287	84288	84288	NaN	0	84288
ct3_DRR290133_1b_288	30540	30540	NaN	0	30540
ct3_DRR290133_1b_289	33875	33875	NaN	0	33875
ct3_DRR290133_1b_29	32040	32040	NaN	0	32040
ct3_DRR290133_1b_290	39814	39814	NaN	0	39814
ct3_DRR290133_1b_292	26691	26691	NaN	0	26691
ct3_DRR290133_1b_293	20161	20161	NaN	0	20161
ct3_DRR290133_1b_294	3322821	16504	C106	1192833	1209337
ct3_DRR290133_1b_296	100898	100898	NaN	0	100898
ct3_DRR290133_1b_298	46410	46410	NaN	0	46410
ct3_DRR290133_1b_299	31667	31667	NaN	0	31667
ct3_DRR290133_1b_3	5860148	30031	C326	5075177	5105208
ct3_DRR290133_1b_30	69035	69035	NaN	0	69035
ct3_DRR290133_1b_300	25967	25967	NaN	0	25967
ct3_DRR290133_1b_301	58308	58308	NaN	0	58308
ct3_DRR290133_1b_31	34759	34759	NaN	0	34759
ct3_DRR290133_1b_32	34462	34462	NaN	0	34462
ct3_DRR290133_1b_33	53745	53745	NaN	0	53745
ct3_DRR290133_1b_34	33694	33694	NaN	0	33694
ct3_DRR290133_1b_35	34659	34659	NaN	0	34659
ct3_DRR290133_1b_37	27424	27424	NaN	0	27424
ct3_DRR290133_1b_38	2478908	42789	C138	1647847	1690636
ct3_DRR290133_1b_39	46977	46977	NaN	0	46977
ct3_DRR290133_1b_4	3211988	22443	C107	1750693	1773136
ct3_DRR290133_1b_4	3211988	23903	C133	2247937	2271840
ct3_DRR290133_1b_40	29440	29440	NaN	0	29440
ct3_DRR290133_1b_42	39367	39367	NaN	0	39367
ct3_DRR290133_1b_43	214307	214307	NaN	0	214307
ct3_DRR290133_1b_44	92953	92953	NaN	0	92953
ct3_DRR290133_1b_45	31879	31879	NaN	0	31879
ct3_DRR290133_1b_49	36784	36784	NaN	0	36784
ct3_DRR290133_1b_50	45676	45676	NaN	0	45676
ct3_DRR290133_1b_51	67577	67577	NaN	0	67577
ct3_DRR290133_1b_52	27471	27471	NaN	0	27471
ct3_DRR290133_1b_54	27160	27160	NaN	0	27160
ct3_DRR290133_1b_55	30580	30580	NaN	0	30580
ct3_DRR290133_1b_57	3468329	13418	C159	2789400	2802818
ct3_DRR290133_1b_58	2678516	46559	C17	279176	325735
ct3_DRR290133_1b_58	2678516	45041	C151	2600137	2645178
ct3_DRR290133_1b_60	85716	85716	NaN	0	85716
ct3_DRR290133_1b_61	382165	382165	NaN	0	382165
ct3_DRR290133_1b_62	32344	32344	NaN	0	32344
ct3_DRR290133_1b_63	80421	80421	NaN	0	80421
ct3_DRR290133_1b_64	85312	85312	NaN	0	85312
ct3_DRR290133_1b_65	154121	154121	NaN	0	154121
ct3_DRR290133_1b_66	397871	397871	NaN	0	397871
ct3_DRR290133_1b_67	33907	33907	NaN	0	33907
ct3_DRR290133_1b_68	33559	33559	NaN	0	33559
ct3_DRR290133_1b_69	34634	34634	NaN	0	34634
ct3_DRR290133_1b_7	33618	33618	NaN	0	33618
ct3_DRR290133_1b_70	63727	63727	NaN	0	63727
ct3_DRR290133_1b_71	25893	25893	NaN	0	25893
ct3_DRR290133_1b_73	30111	30111	NaN	0	30111
ct3_DRR290133_1b_74	34041	34041	NaN	0	34041
ct3_DRR290133_1b_75	24652	24652	NaN	0	24652
ct3_DRR290133_1b_76	44239	44239	NaN	0	44239
ct3_DRR290133_1b_77	29609	29609	NaN	0	29609
ct3_DRR290133_1b_78	86523	86523	NaN	0	86523
ct3_DRR290133_1b_79	28444	28444	NaN	0	28444
ct3_DRR290133_1b_8	3439255	31992	C48	484642	516634
ct3_DRR290133_1b_81	34034	34034	NaN	0	34034
ct3_DRR290133_1b_83	24708	24708	NaN	0	24708
ct3_DRR290133_1b_84	42709	42709	NaN	0	42709
ct3_DRR290133_1b_85	29290	29290	NaN	0	29290
ct3_DRR290133_1b_86	40705	40705	NaN	0	40705
ct3_DRR290133_1b_88	23267	23267	NaN	0	23267
ct3_DRR290133_1b_89	21993	21993	NaN	0	21993
ct3_DRR290133_1b_90	681295	681295	NaN	0	681295
ct3_DRR290133_1b_91	26348	26348	NaN	0	26348
ct3_DRR290133_1b_94	785873	785873	NaN	0	785873
ct3_DRR290133_1b_96	83117	83117	NaN	0	83117
ct3_DRR290133_1b_97	31035	31035	NaN	0	31035
ct3_DRR290133_1b_98	27729	27729	NaN	0	27729
