contig	input_name	organism	virus_seq_length	end_feature	gene_count	virion_hallmark_count	rep_hallmark_count	RDRP_hallmark_count	virion_hallmark_genes	rep_hallmark_genes	RDRP_hallmark_genes	taxonomy_hierarchy	ORF_caller	gcode	avg_read_depth
ct3_caudo_2a_1	MN585994.1 |Mycobacterium phage SheaKeira, complete genome	Caudoviricetes sp. ct3LDHV	52431	None	88	15	1	0	minor tail protein |Terminase|Portal Protein|minor capsid protein|Major Capsid Protein|Minor capsid protein|type I neck protein|tail completion protein|major tail protein|Tail assembly protein|Tail assembly protein|Minor tail protein |tail protein|Structural protein |Minor tail protein 	DNAB replicative helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_10	MW584148.1 |Mycobacterium phage prophiGD25-1, complete genome	Caudoviricetes sp. ctQLRF6	52581	None	69	15	2	0	Small Terminase|Terminase|Portal protein|Major Capsid Protein|head to tail adaptor|Minor capsid protein|putative tail component|tail completion protein|major tail protein|Tail assembly chaperone|tail tape measure protein |tail protein|Minor tail protein |Minor tail protein |Minor tail protein 	DNA annealing helicase and endonuclease|phage replisome organiser		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_100	MT639648.1 |Mycobacterium phage Heath, complete genome	Coopervirus sp. ctC84O8	69258	None	86	12	2	0	Terminase large subunit|Portal protein|minor head component F|Major Capsid protein|major tail protein|head to tail adaptor|tail completion protein|Minor capsid protein|tail tape measure protein |tail protein|Putative structural protein |Structural protein 	DNA helicase|replicative DNA helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;-_Bclasvirinae;g_Coopervirus	prodigal-gv	11	NaN
ct3_caudo_2a_11	HM461982.1 |Burkholderia phage KS14, complete genome	Kisquattuordecimvirus sp. ct3SM7E	32317	None	40	16	0	0	minor tail protein|tail assembly chaperone protein|tail tube protein|sheath tube|tail fibre assembly protein|Tail fiber protein|tail protein|baseplate assembly protein|Virion morphogenesis family|tail completion protein|head completion protein|small terminase|Major Capsid protein|capsid scaffolding protein serine peptidase|Large Terminase|portal vertex protein			d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;f_Peduoviridae;g_Kisquattuordecimvirus	prodigal-gv	11	NaN
ct3_caudo_2a_12	KC736978.1 |Shigella phage SfII, complete genome	Caudoviricetes sp. ctW3VU3	41475	None	55	16	1	0	Small Terminase|Large Terminase|Portal Protein|prohead serine protease|Major Capsid protein|Head Tail Connector protein|Head tail adaptor|Head tail adaptor|tail completion protein|tail component|Tail tube protein|minor tail protein|Tail protein|Baseplate J like protein|Tail fiber|tail fibre assembly protein	Replication protein O		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_13	ON528746.1 |UNVERIFIED: Shigella phage ESh36, complete genome	Tequatrovirus sp. ctK17TV	170646	None	283	38	4	0	Capsid vertex protein|Major Capsid Protein|Head assembly protein|DNA packaging protein|Baseplate wedge protein|Baseplate wedge protein|Baseplate|baseplate wedge subunit|Baseplate wedge protein|T4 baseplate structural protein|baseplate wedge tail fiber connector|Baseplate wedge protein|baseplate wedge subunit|Long tail fiber|Neck protein |Neck protein|tail sheath stabilizer|Terminase DNA packaging enzyme|Large Terminase|tail sheath|Baseplate wedge protein|capsid assembly protein|Prohead core protein|Prohead core protein protease|Scaffold protein |Major Capsid Protein|capsid vertex protein|head outer capsid protein |Baseplate wedge protein|baseplate protein|baseplate assembly protein|baseplate hub subunit|Baseplate hub distal subunit|Baseplate hub distal subunit|baseplate protein|baseplate protein|Long tail fiber|Long tail fiber	DNAB Like Replicative Helicase|DNAB Like Replicative Helicase|DNA helicase|DNA helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;f_Straboviridae;-_Tevenvirinae;g_Tequatrovirus	prodigal-gv	11	NaN
ct3_caudo_2a_14	AB276040.1 |Ralstonia phage RSA1 DNA, complete genome	Aresaunavirus sp. ctTJFUS	38760	None	54	17	0	0	portal vertex protein|Large Terminase|capsid scaffolding protein serine peptidase|Major Capsid protein|small terminase|head completion protein|tail completion protein|Virion morphogenesis family|Baseplate wedge protein|baseplate assembly protein|tail protein|tail collar fibre protein|tail fibre assembly protein|sheath tube|tail tube protein|tail assembly chaperone protein|minor tail protein			d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;f_Peduoviridae;g_Aresaunavirus	prodigal-gv	11	NaN
ct3_caudo_2a_15	KY514264.1 |Pectobacterium phage vB_PatP_CB1, complete genome	Cbunavirus sp. ctW547J	75394	DTR	95	5	0	0	Tailspike protein|Major Capsid Protein|Portal protein|head to tail adaptor|Large Terminase			d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;f_Schitoviridae;g_Cbunavirus	prodigal-gv	11	NaN
ct3_caudo_2a_16	MF324898.1 |Rhodococcus phage Hiro, complete genome	Rerduovirus sp. ctIXW12	46854	None	66	11	1	0	Terminase|Portal Protein|minor capsid protein |Major Capsid Protein|Minor capsid protein|type I neck protein|tail completion protein|major tail protein|Tail assembly protein|Minor tail protein |tail protein	DNAB replicative helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Rerduovirus	prodigal-gv	11	NaN
ct3_caudo_2a_17	MN693266.1 |MAG: Marine virus AFVG_25M408, complete genome	Autographiviridae sp. ctUWU4B	39542	None	43	9	1	0	DNA packaging protein|Large Terminase|Major Capsid Protein|Tail tube protein|Phage stabilisation protein|internal virion protein |tail fibre protein|Major Capsid Protein|Portal Protein	DNA polymerase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;f_Autographiviridae	prodigal-gv	11	NaN
ct3_caudo_2a_18	OR113388.1 |Clostridium phage vB_CtyS-FA88, complete genome	Caudoviricetes sp. ctSB5T3	59998	None	85	11	3	0	Terminase small subunit|Large Terminase|Portal Protein|minor capsid protein|minor structural protein|Head decoration protein|Major Capsid protein|type I neck protein|tail completion protein|minor tail protein|tail protein	Replicative helicase|DNAB Like Replicative Helicase|Helicase of the snf2 family		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_19	MT601271.1 |Bacillus phage vB_BsuM-Goe10, complete genome	Okubovirus sp. ctCVT2W	135095	DTR	199	15	3	0	Portal protein|Large Terminase|Portal protein|Major Capsid Protein|Major capsid protein|head to tail adaptor|Baseplate hub assembly protein |tail sheath|major tail protein|Tail assembly chaperone |Tail assembly chaperone |Minor tail fiber protein|Baseplate J like protein|Baseplate wedge protein|Baseplate wedge protein	DNA helicase|Replication initiator A family protein|DNAB Like Replicative Helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;f_Herelleviridae;-_Spounavirinae;g_Okubovirus	prodigal-gv	11	NaN
ct3_caudo_2a_2	KC691255.2 |Mycobacterium phage Dumbo, complete genome	Kostyavirus sp. ctS1BQT	75736	None	142	17	3	0	Small Terminase|Large Terminase|Portal protein|Major Capsid Protein|head to tail adaptor|Minor capsid protein|type I neck protein|tail completion protein|major tail protein|Tail assembly chaperone|tail tape measure protein |tail protein|Minor tail protein |Putative structural protein |Putative structural protein |Putative structural protein |terminase	phage replisome organiser|Helicase ATPase|DNA polymerase B		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Kostyavirus	prodigal-gv	11	NaN
ct3_caudo_2a_20	NC_027298.1 |Pseudomonas phage LPB1, complate genome	Casadabanvirus sp. ctKP0X2	36814	None	53	12	0	0	virion protein|Large Terminase|Portal protein|minor capsid component|virion morphogenesis protein|major capsid subunit gpT|head to tail adaptor|tail completion protein|major tail protein|tail tape measure protein |minor tail protein |Putative phage tail protein			d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Casadabanvirus	prodigal-gv	11	NaN
ct3_caudo_2a_21	HQ918180.1 |Klebsiella phage KP27, complete genome	Slopekvirus sp. ctW0HTN	174413	None	272	38	5	0	Major Capsid Protein|Head assembly protein|Envelope protein|baseplate hub subunit|Baseplate hub distal subunit|Baseplate hub distal subunit|baseplate protein|baseplate protein|baseplate assembly protein|baseplate protein|Baseplate wedge protein|Baseplate wedge protein|baseplate wedge subunit|Baseplate|baseplate wedge subunit|Baseplate wedge protein|baseplate wedge subunit|baseplate wedge tail fiber connector|Baseplate wedge protein|baseplate wedge subunit and tail pin|Tail fiber protein|Neck protein |Virus neck protein|Tail connector protein|small terminase|Large Terminase|tail sheath|Baseplate wedge protein|portal vertex protein|Prohead core protein|Prohead core protein protease|Scaffold protein |Major Capsid protein|capsid vertex protein|Capsid vertex protein|Capsid vertex protein|Long tail fiber|Tail protein	DNAB Like Replicative Helicase|DNA polymerase|DNA helicase|Large T antigen|DNA helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;f_Straboviridae;g_Slopekvirus	prodigal-gv	11	NaN
ct3_caudo_2a_22	MG839020.1 |Microbacterium phage Kale, complete genome	Ilzatvirus sp. ctEIEGD	41558	None	62	8	1	0	Large Terminase|Portal protein|minor capsid component|Major Capsid protein|putative tail component|major tail protein|tail tape measure protein |tail protein	replicative DNA helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Ilzatvirus	prodigal-gv	11	NaN
ct3_caudo_2a_23	MN693881.1 |MAG: Marine virus AFVG_250M1073, complete genome	Caudoviricetes sp. ctX3L3O	40575	None	67	9	0	0	Small Terminase|Large Terminase|Portal Protein|Scaffold protein |Major Capsid Protein|head to tail adaptor|tail fiber protein |structural protein |Stabilisation protein			d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
