seq_name	n_genes_with_taxonomy	agreement	taxid	lineage
NC_074560.1	12	0.9215	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
NC_074561.1	11	0.9392	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
NC_055059.1	5	0.5881	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NC_055060.1	5	0.5823	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NC_055061.1	3	1.0000	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NC_042083.1	6	0.5629	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
NC_022094.1	9	0.9749	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
NC_011523.1	14	0.8520	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
NC_007451.1	12	0.8878	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
NC_006945.1	12	0.8960	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
NC_005258.1	15	0.8878	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
NC_001421.2	11	0.9114	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
OQ791408.1	1	1.0000	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
OQ709206.1	1	1.0000	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OQ709213.1	2	1.0000	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OP434453.1	5	0.5844	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OM630588.1	10	0.9643	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
OP068334.1	2	1.0000	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OL455892.1	1	1.0000	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OK041468.1	12	0.8905	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
MZ150790.1	1	1.0000	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
MZ089978.1	12	0.9215	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
MZ089979.1	11	0.9392	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
MT952848.1	1	1.0000	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
MK620900.1	5	0.5881	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
MK305890.1	5	0.5823	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
MH673671.2	2	0.5161	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
MG159787.1	6	0.5629	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
KY817360.1	3	1.0000	2561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
CP013282.1	15	0.8879	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
KF188458.1	9	0.9749	7662	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
