locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NC_002700.2_1												Hypothetical
NC_002700.2_2												Hypothetical
NC_002700.2_3												Hypothetical
NC_002700.2_4					phrog_4267	VOG03055	VOG:VOG03055	623	1.3e-142	470.2		hypothetical protein
NC_074160.1_1					phrog_4286	VOG02849	VOG:VOG02849	386	1.6e-23	74.1		hypothetical protein
NC_074160.1_2												Hypothetical
NC_074160.1_3					phrog_4267	VOG03055	VOG:VOG03055	577	8.1e-99	325.7		hypothetical protein
NC_073880.1_1												Hypothetical
NC_073880.1_2					phrog_4286	VOG02849	VOG:VOG02849	401	5.8e-25	82.1		hypothetical protein
NC_073880.1_3												Hypothetical
NC_073880.1_4					phrog_4267	VOG03055	VOG:VOG03055	641	1e-84	279.0		hypothetical protein
NC_074514.1_1						VOG02849	VOG:VOG02849	359	9.8e-22	71.2		hypothetical protein
NC_074514.1_2												Hypothetical
NC_074514.1_3					phrog_4267	VOG03055	VOG:VOG03055	661	2.8e-69	228.1		hypothetical protein
NC_074345.1_1												Hypothetical
NC_074345.1_2												Hypothetical
NC_074345.1_3												Hypothetical
NC_074345.1_4					phrog_4267	VOG03055	VOG:VOG03055	631	1.6e-60	199.2		hypothetical protein
NC_074055.1_1												Hypothetical
NC_074055.1_2					phrog_4286	VOG02849	VOG:VOG02849	404	7.6e-61	200.8		hypothetical protein
NC_074055.1_3												Hypothetical
NC_074055.1_4												Hypothetical
NC_074055.1_5					phrog_4267	VOG03055	VOG:VOG03055	554	9.1e-129	424.6		hypothetical protein
NC_074008.1_1												Hypothetical
NC_074008.1_2					phrog_4286	VOG02849	VOG:VOG02849	396	6.8e-45	148.1		hypothetical protein
NC_074008.1_3					phrog_4419		PHROG:phrog_4419	134	3.2e-18	60.5		head protein
NC_074008.1_4					phrog_4267	VOG03055	PHROG:phrog_4267	533	6e-146	480.5		RNA replicase beta subunit
NC_074532.1_1						VOG02849	VOG:VOG02849	436	2.3e-21	69.4		hypothetical protein
NC_074532.1_2												Hypothetical
NC_074532.1_3					phrog_4267	VOG03055	VOG:VOG03055	608	3.6e-63	208.1		hypothetical protein
NC_074532.1_4												Hypothetical
NC_074364.1_1												Hypothetical
NC_074364.1_2												Hypothetical
NC_074364.1_3												Hypothetical
NC_074364.1_4					phrog_4267	VOG03055	VOG:VOG03055	610	1.3e-70	232.6		hypothetical protein
NC_074364.1_5												Hypothetical
NC_074544.1_1												Hypothetical
NC_074544.1_2												Hypothetical
NC_074544.1_3												Hypothetical
NC_074544.1_4					phrog_4267	VOG03055	VOG:VOG03055	676	8.1e-66	215.5		hypothetical protein
NC_028902.1_1					phrog_4286	VOG02849	PHROG:phrog_4286	439	1.6e-134	443.3		head maturation protease
NC_028902.1_2					phrog_7959	VOG02863	PHROG:phrog_7959	133	8e-85	278.9		minor head protein
NC_028902.1_3					phrog_7959	VOG02863	VOG:VOG02863	197	2.3e-123	405.6		hypothetical protein
NC_028902.1_4					phrog_4267	VOG03055	PHROG:phrog_4267	587	1.1e-227	750.8		RNA replicase beta subunit
NC_074151.1_1												Hypothetical
NC_074151.1_2												Hypothetical
NC_074151.1_3					phrog_4267	VOG03055	VOG:VOG03055	673	3.9e-89	292.5		hypothetical protein
NC_073801.1_1												Hypothetical
NC_073801.1_2												Hypothetical
NC_073801.1_3												Hypothetical
NC_073801.1_4					phrog_4267	VOG03055	VOG:VOG03055	530	1.3e-91	302.0		hypothetical protein
NC_074111.1_1												Hypothetical
NC_074111.1_2						VOG02849	VOG:VOG02849	431	3.4e-19	62.8		hypothetical protein
NC_074111.1_3					phrog_4419	VOG02863	PHROG:phrog_4419	138	1.9e-30	100.0		head protein
NC_074111.1_4					phrog_4267	VOG03055	PHROG:phrog_4267	600	2e-136	449.4		RNA replicase beta subunit
NC_074111.1_5												Hypothetical
NC_073987.1_1					phrog_4286	VOG02849	PHROG:phrog_4286	412	1.8e-64	212.6		head maturation protease
NC_073987.1_2					phrog_4419	VOG02863	PHROG:phrog_4419	133	3.4e-44	144.5		head protein
NC_073987.1_3					phrog_4267	VOG03055	PHROG:phrog_4267	528	6.4e-149	490.9		RNA replicase beta subunit
NC_074522.1_1												Hypothetical
NC_074522.1_2												Hypothetical
NC_074522.1_3												Hypothetical
NC_074522.1_4					phrog_4267	VOG03055	VOG:VOG03055	682	1.1e-62	206.4		hypothetical protein
NC_074439.1_1						VOG02849	VOG:VOG02849	387	1.8e-22	74.2		hypothetical protein
NC_074439.1_2												Hypothetical
NC_074439.1_3					phrog_4267	VOG03055	VOG:VOG03055	649	5.2e-75	247.1		hypothetical protein
NC_074513.1_1												Hypothetical
NC_074513.1_2												Hypothetical
NC_074513.1_3												Hypothetical
NC_074513.1_4					phrog_4267	VOG03055	VOG:VOG03055	614	2.6e-61	201.9		hypothetical protein
