gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
MN585994.1_1	356	1213	858	1	0.618	11	None	GENOMAD.197304.VP	1.767e-08	58	0	0	0	2561	Caudoviricetes	NA	NA	PF14386	NA
MN585994.1_2	1210	1908	699	1	0.624	11	None	GENOMAD.092743.VV	6.511e-86	283	0	0	0	2561	Caudoviricetes	NA	NA	PF07737;K20109	Anthrax toxin lethal factor, N- and C-terminal domain
MN585994.1_3	1905	2126	222	1	0.653	11	GGAG/GAGG	GENOMAD.100293.VV	3.516e-41	145	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_4	2450	2920	471	1	0.622	11	AGGAGG	GENOMAD.030869.VV	9.592e-19	85	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_5	3005	3976	972	1	0.609	11	AGGA	GENOMAD.061144.VV	2.122e-178	555	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_6	4237	4377	141	1	0.574	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
MN585994.1_7	4377	5927	1551	1	0.643	11	None	GENOMAD.168642.VP	7.121e-77	270	0	0	0	2561	Caudoviricetes	NA	NA	COG3757	Lyzozyme M1 (1,4-beta-N-acetylmuramidase), GH25 family
MN585994.1_8	5924	6310	387	1	0.654	11	AGGAG	GENOMAD.068941.VV	1.962e-41	149	0	0	1	2561	Caudoviricetes	NA	NA	PF16081	Mycobacterial 2 TMS Phage Holin (M2 Hol) Family
MN585994.1_9	6310	8097	1788	1	0.610	11	None	GENOMAD.008099.VV	3.853e-177	566	0	0	1	2561	Caudoviricetes	NA	NA	PF03354;COG4626	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
MN585994.1_10	8094	9584	1491	1	0.633	11	None	GENOMAD.075466.VV	4.665e-113	375	0	0	1	2561	Caudoviricetes	NA	NA	PF05133;TIGR01538;COG5511	phage portal protein, SPP1 family
MN585994.1_11	9581	10468	888	1	0.613	11	AGGAGG	GENOMAD.017999.VV	3.751e-77	261	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_12	10521	11054	534	1	0.622	11	AGGAGG	GENOMAD.059588.VV	3.571e-83	272	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_13	11082	12050	969	1	0.645	11	None	GENOMAD.059267.VV	3.287e-164	514	0	0	1	2561	Caudoviricetes	NA	NA	PF05065;TIGR01554;COG4653	phage major capsid protein, HK97 family
MN585994.1_14	12121	12345	225	1	0.649	11	None	GENOMAD.069078.VV	3.484e-05	42	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_15	12349	12726	378	1	0.598	11	AGGAG	GENOMAD.014651.VV	5.238e-54	185	0	0	1	2561	Caudoviricetes	NA	NA	PF09355	Phage protein Gp19/Gp15/Gp42
MN585994.1_16	12723	12920	198	1	0.601	11	None	GENOMAD.068131.VV	7.961e-37	132	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_17	12917	13285	369	1	0.623	11	None	GENOMAD.050775.VV	1.013e-53	184	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_18	13285	13620	336	1	0.649	11	GGAG/GAGG	GENOMAD.055693.VV	1.211e-54	186	0	0	0	2561	Caudoviricetes	NA	NA	PF17395	NA
MN585994.1_19	13630	14046	417	1	0.595	11	AGGAGG	GENOMAD.050672.VV	1.101e-68	228	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_20	14062	14658	597	1	0.630	11	None	GENOMAD.073691.VV	5.703e-35	134	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_21	14773	15168	396	1	0.616	11	None	GENOMAD.051635.VV	1e-16	78	0	0	1	2561	Caudoviricetes	NA	NA	PF17388	Mycobacteriophage tail assembly protein
MN585994.1_22	15120	15599	480	1	0.606	11	None	GENOMAD.054453.VV	7.19e-33	126	0	0	0	2561	Caudoviricetes	NA	NA	PF17318	NA
MN585994.1_23	15580	18678	3099	1	0.624	11	AGGAG	GENOMAD.104182.VP	1.886e-133	456	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_24	18709	19731	1023	1	0.614	11	AGGAGG	GENOMAD.023648.VV	2.16e-160	504	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_25	19728	21518	1791	1	0.603	11	None	GENOMAD.017712.VV	0.0	1013	0	0	0	2561	Caudoviricetes	NA	NA	PF14594	Siphovirus ReqiPepy6 Gp37-like protein
MN585994.1_26	21612	21983	372	1	0.608	11	None	GENOMAD.021003.VV	4.367e-63	211	0	0	0	2561	Caudoviricetes	NA	NA	PF10910	NA
MN585994.1_27	21980	22342	363	1	0.617	11	None	GENOMAD.153146.VC	7.46e-40	144	0	0	0	2561	Caudoviricetes	NA	NA	PF10874	NA
MN585994.1_28	22351	24009	1659	1	0.640	11	AGGAGG	GENOMAD.137550.VP	6.138e-57	212	0	0	0	2561	Caudoviricetes	NA	NA	COG3979	NA
MN585994.1_29	24009	24662	654	1	0.657	11	AGGA	GENOMAD.161538.VV	9.063e-48	172	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_30	24745	24936	192	1	0.568	11	None	GENOMAD.109642.VV	2.603e-24	96	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_31	24933	25100	168	1	0.619	11	None	GENOMAD.172282.VV	7.758e-25	97	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_32	25103	26656	1554	-1	0.631	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
MN585994.1_33	26902	27321	420	1	0.638	11	GGAG/GAGG	GENOMAD.221828.VP	1.136e-18	84	0	0	0	2561	Caudoviricetes	NA	NA	PF10935	NA
MN585994.1_34	27430	27624	195	-1	0.621	11	AGGA	GENOMAD.141370.VV	1.905e-20	85	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_35	27876	28079	204	-1	0.647	11	None	GENOMAD.135867.VV	1.965e-36	131	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_36	28076	28474	399	-1	0.637	11	AGGAGG	GENOMAD.055694.VV	2.696e-23	97	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_37	28474	28743	270	-1	0.619	11	GGAG/GAGG	GENOMAD.064331.VV	2.683e-13	66	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_38	28740	28934	195	-1	0.641	11	None	GENOMAD.073255.VV	2.319e-33	122	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_39	29001	30794	1794	-1	0.586	11	AGGAG	GENOMAD.118632.VP	1.139e-09	64	0	0	1	2561	Caudoviricetes	NA	NA	PF00476;PF07141	DNA polymerase family A; Putative bacteriophage terminase small subunit
MN585994.1_40	30799	31011	213	-1	0.606	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
MN585994.1_41	31011	31340	330	-1	0.639	11	None	GENOMAD.087026.VV	1.105e-38	140	0	0	1	2561	Caudoviricetes	NA	NA	PF17510	Gene product 44
MN585994.1_42	31340	31684	345	-1	0.638	11	GGAG/GAGG	GENOMAD.218374.VP	8.47e-28	109	0	0	0	2561	Caudoviricetes	NA	NA	PF08822;PF06156;TIGR01321;COG2826	trp operon repressor, proteobacterial
MN585994.1_43	31681	31905	225	-1	0.533	11	GGAGG	GENOMAD.075860.VV	2.62e-29	111	0	0	0	2561	Caudoviricetes	NA	NA	PF06004	NA
MN585994.1_44	31907	32614	708	-1	0.624	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
MN585994.1_45	32739	33320	582	-1	0.689	11	None	GENOMAD.041011.VV	5.867e-94	304	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_46	33317	35356	2040	-1	0.622	11	None	GENOMAD.104099.VC	1.146e-19	97	0	0	0	2561	Caudoviricetes	NA	NA	PF17975;PF02867;K00527;TIGR02505	ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent
MN585994.1_47	35343	35582	240	-1	0.633	11	GGAG/GAGG	GENOMAD.054729.VV	2.743e-16	74	0	0	1	2561	Caudoviricetes	NA	NA	PF17468	Phage gene product 52
MN585994.1_48	35582	35716	135	-1	0.630	11	AGGAGG	GENOMAD.124739.VV	1.359e-14	67	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_49	35713	36369	657	-1	0.639	11	None	GENOMAD.050937.VV	5.906e-89	291	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_50	36418	37188	771	-1	0.628	11	GGAG/GAGG	GENOMAD.005449.VV	8.251e-95	310	0	0	0	2561	Caudoviricetes	NA	NA	PF12850;TIGR00024;COG1407;K07096	putative phosphoesterase, SbcD/Mre11-related
MN585994.1_51	37181	37666	486	-1	0.609	11	GGAG/GAGG	GENOMAD.004682.VV	2.444e-37	139	0	0	1	2561	Caudoviricetes	NA	NA	PF19905	NA
MN585994.1_52	37663	37935	273	-1	0.601	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
MN585994.1_53	37935	38561	627	-1	0.604	11	AGGAGG	GENOMAD.076386.VV	3.745e-63	216	0	0	0	2561	Caudoviricetes	NA	NA	PF13362;TIGR00646;COG1658	DNA primase-related protein
MN585994.1_54	38883	39050	168	-1	0.613	11	GGAG/GAGG	GENOMAD.119161.VV	4.836e-22	89	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_55	39047	39511	465	-1	0.613	11	AGGAG	GENOMAD.117046.VV	2.405e-34	130	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_56	39462	39614	153	-1	0.562	11	None	GENOMAD.119334.VV	7.669e-09	51	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_57	39614	39772	159	-1	0.654	11	None	GENOMAD.083552.VV	1.16e-19	82	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_58	39769	39912	144	-1	0.618	11	AGGA	GENOMAD.061468.VV	1.017e-11	59	0	0	1	2561	Caudoviricetes	NA	NA	PF17471	Gene product 63
MN585994.1_59	39961	40347	387	-1	0.628	11	None	GENOMAD.212813.VP	1.634e-51	178	0	0	0	2561	Caudoviricetes	NA	NA	COG5510	Predicted small secreted protein
MN585994.1_60	40344	40520	177	-1	0.599	11	AGGAG	GENOMAD.199278.VV	2.923e-07	47	0	0	0	11308	Vilmaviridae	NA	NA	NA	NA
MN585994.1_61	40529	41338	810	-1	0.619	11	AGGAGG	GENOMAD.015180.VV	2.935e-86	286	0	0	0	2561	Caudoviricetes	NA	NA	PF06023;K07465;TIGR01896;COG2887	CRISPR-associated protein Cas4/Csa1, subtype I-A/APERN
MN585994.1_62	41359	41628	270	-1	0.611	11	GGAG/GAGG	GENOMAD.066749.VV	8.246e-25	99	0	0	1	2561	Caudoviricetes	NA	NA	PF17469	Gp68-like predicted RNA polymerase component
MN585994.1_63	41625	41846	222	-1	0.622	11	AGGAG	GENOMAD.069434.VV	4.047e-32	119	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_64	41878	42786	909	-1	0.636	11	None	GENOMAD.154559.VC	1.894e-186	577	0	0	0	2561	Caudoviricetes	NA	NA	PF06023;K07465;COG2887;TIGR01896	CRISPR-associated exonuclease Csa1
MN585994.1_65	42783	43202	420	-1	0.614	11	AGGA	GENOMAD.074949.VV	3.897e-39	143	0	0	0	2561	Caudoviricetes	NA	NA	PF17429	Gene product 70
MN585994.1_66	43222	43755	534	-1	0.609	11	GGAGG	GENOMAD.182445.VP	1.214e-52	184	0	0	1	2561	Caudoviricetes	NA	NA	PF17429;PF11242;TIGR00721;COG3415	Gene product 70
MN585994.1_67	44015	44164	150	-1	0.533	11	GGAGG	GENOMAD.084550.VV	2.791e-17	75	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
MN585994.1_68	44166	44333	168	-1	0.637	11	None	GENOMAD.125706.VV	2.705e-20	84	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
