contig	gene_start	gene_stop	gene_name	gene_orient	contig_length	dtr_seq	evidence_acession	evidence_description	Evidence_source	vscore_category	chunk_name	chunk_length	chunk_start	chunk_stop
ct3_leviv_2a_1	253	1857	ct3_leviv_2a_1_1	+	4268		PDB:5MNT_B	minor-capsid-protein	hallmark_hmm	common_virus	NaN		0	4268
ct3_leviv_2a_1	1818	2303	ct3_leviv_2a_1_2	+	4268			hypothetical protein		hypothetical_protein	NaN		0	4268
ct3_leviv_2a_1	2307	4172	ct3_leviv_2a_1_3	+	4268		PDB:3MMP_F	RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	4268
ct3_leviv_2a_10	153	1619	ct3_leviv_2a_10_1	+	4744		PFAM:PF03863.12	head-maturation-protease	phrogs_hmm	hypothetical_protein	NaN		0	4744
ct3_leviv_2a_10	1768	2124	ct3_leviv_2a_10_2	+	4744			hypothetical protein		hypothetical_protein	NaN		0	4744
ct3_leviv_2a_10	2167	2508	ct3_leviv_2a_10_3	+	4744			hypothetical protein		hypothetical_protein	NaN		0	4744
ct3_leviv_2a_10	2634	4661	ct3_leviv_2a_10_4	+	4744			Atkins.1/PDB:3MMP_F-RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	4744
ct3_leviv_2a_100	40	1194	ct3_leviv_2a_100_1	+	3259		PDB:5TC1_M	Capsid-protein	hallmark_hmm	common_virus	NaN		0	3259
ct3_leviv_2a_100	1206	1580	ct3_leviv_2a_100_2	+	3259		PFAM:PF01819.16	head-protein	phrogs_hmm	hypothetical_protein	NaN		0	3259
ct3_leviv_2a_100	1601	3187	ct3_leviv_2a_100_3	+	3259		PDB:3AVX_A	RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	3259
ct3_leviv_2a_11	17	1333	ct3_leviv_2a_11_1	+	4184		PDB:5MNT_B	minor-capsid-protein	hallmark_hmm	common_virus	NaN		0	4184
ct3_leviv_2a_11	1354	1752	ct3_leviv_2a_11_2	+	4184		PDB:3RLK_A	Beta-barrel-protein	hallmark_hmm	common_virus	NaN		0	4184
ct3_leviv_2a_11	1762	2352	ct3_leviv_2a_11_3	+	4184		PDB:3RLK_A	Beta-barrel-protein	hallmark_hmm	common_virus	NaN		0	4184
ct3_leviv_2a_11	2368	4128	ct3_leviv_2a_11_4	+	4184		PFAM:PF03431.12	RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	4184
ct3_leviv_2a_12	212	1600	ct3_leviv_2a_12_1	+	4210		PDB:5TC1_M	Capsid-protein	hallmark_hmm	common_virus	NaN		0	4210
ct3_leviv_2a_12	1635	1991	ct3_leviv_2a_12_2	+	4210			hypothetical protein		hypothetical_protein	NaN		0	4210
ct3_leviv_2a_12	2113	4131	ct3_leviv_2a_12_3	+	4210		PFAM:PF03431.12	RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	4210
ct3_leviv_2a_13	1	195	ct3_leviv_2a_13_1	+	3590			hypothetical protein		hypothetical_protein	NaN		0	3590
ct3_leviv_2a_13	202	1386	ct3_leviv_2a_13_2	+	3590		PDB:5TC1_M	Capsid-protein	hallmark_hmm	common_virus	NaN		0	3590
ct3_leviv_2a_13	1400	1867	ct3_leviv_2a_13_3	+	3590			hypothetical protein		hypothetical_protein	NaN		0	3590
ct3_leviv_2a_13	1901	3490	ct3_leviv_2a_13_4	+	3590		PDB:3AVX_A	RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	3590
ct3_leviv_2a_14	76	378	ct3_leviv_2a_14_1	+	4313			hypothetical protein		hypothetical_protein	NaN		0	4313
ct3_leviv_2a_14	385	1677	ct3_leviv_2a_14_2	+	4313		PDB:5TC1_M	Capsid-protein	hallmark_hmm	common_virus	NaN		0	4313
ct3_leviv_2a_14	1722	2135	ct3_leviv_2a_14_3	+	4313		PDB:3RLK_A	Beta-barrel-protein	hallmark_hmm	common_virus	NaN		0	4313
ct3_leviv_2a_14	2207	4006	ct3_leviv_2a_14_4	+	4313		PFAM:PF03431.12	RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	4313
ct3_leviv_2a_14	4064	4312	ct3_leviv_2a_14_5	-	4313			hypothetical protein		hypothetical_protein	NaN		0	4313
ct3_leviv_2a_15	300	1535	ct3_leviv_2a_15_1	+	3708		PDB:5TC1_M	Capsid-protein	hallmark_hmm	common_virus	NaN		0	3708
ct3_leviv_2a_15	1619	2017	ct3_leviv_2a_15_2	+	3708		PDB:3RLK_A	Beta-barrel-protein	hallmark_hmm	common_virus	NaN		0	3708
ct3_leviv_2a_15	2125	3708	ct3_leviv_2a_15_3	+	3708		PFAM:PF03431.12	RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	3708
ct3_leviv_2a_16	152	1621	ct3_leviv_2a_16_1	+	4493		PFAM:PF03863.12	head-maturation-protease	phrogs_hmm	hypothetical_protein	NaN		0	4493
ct3_leviv_2a_16	1721	2071	ct3_leviv_2a_16_2	+	4493			hypothetical protein		hypothetical_protein	NaN		0	4493
ct3_leviv_2a_16	2076	2255	ct3_leviv_2a_16_3	+	4493			hypothetical protein		hypothetical_protein	NaN		0	4493
ct3_leviv_2a_16	2384	4429	ct3_leviv_2a_16_4	+	4493			Atkins.1/PDB:3MMP_F-RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	4493
ct3_leviv_2a_17	85	1245	ct3_leviv_2a_17_1	+	3668		PDB:5TC1_M	Capsid-protein	hallmark_hmm	common_virus	NaN		0	3668
ct3_leviv_2a_17	1278	1655	ct3_leviv_2a_17_2	+	3668			hypothetical protein		hypothetical_protein	NaN		0	3668
ct3_leviv_2a_17	1721	3667	ct3_leviv_2a_17_3	+	3668		PDB:3MMP_F	RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	3668
ct3_leviv_2a_18	76	1245	ct3_leviv_2a_18_1	+	3671		PDB:5TC1_M	Capsid-protein	hallmark_hmm	common_virus	NaN		0	3671
ct3_leviv_2a_18	1342	1704	ct3_leviv_2a_18_2	+	3671			hypothetical protein		hypothetical_protein	NaN		0	3671
ct3_leviv_2a_18	1830	3671	ct3_leviv_2a_18_3	+	3671			Atkins.1/PDB:3MMP_F-RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	3671
ct3_leviv_2a_19	183	1283	ct3_leviv_2a_19_1	+	3819		PHA00371	maturation protein	mmseqs_cdd	common_virus	NaN		0	3819
ct3_leviv_2a_19	1353	1718	ct3_leviv_2a_19_2	+	3819			hypothetical protein		hypothetical_protein	NaN		0	3819
ct3_leviv_2a_19	1893	3695	ct3_leviv_2a_19_3	+	3819			Atkins.1/PDB:3MMP_F-RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	3819
ct3_leviv_2a_2	76	1191	ct3_leviv_2a_2_1	+	3452		PDB:5TC1_M	Capsid-protein	hallmark_hmm	common_virus	NaN		0	3452
ct3_leviv_2a_2	1235	1573	ct3_leviv_2a_2_2	+	3452			hypothetical protein		hypothetical_protein	NaN		0	3452
ct3_leviv_2a_2	1669	3399	ct3_leviv_2a_2_3	+	3452			Solspi.1/PDB:3AVX_A-RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	3452
ct3_leviv_2a_20	3	1457	ct3_leviv_2a_20_1	+	3915		PDB:5TC1_M	Capsid-protein	hallmark_hmm	common_virus	NaN		0	3915
ct3_leviv_2a_20	1510	2010	ct3_leviv_2a_20_2	+	3915			hypothetical protein		hypothetical_protein	NaN		0	3915
ct3_leviv_2a_20	2024	3856	ct3_leviv_2a_20_3	+	3915		PDB:3MMP_F	RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	3915
ct3_leviv_2a_21	106	1395	ct3_leviv_2a_21_1	+	4129			hypothetical protein		hypothetical_protein	NaN		0	4129
ct3_leviv_2a_21	1457	1828	ct3_leviv_2a_21_2	+	4129			hypothetical protein		hypothetical_protein	NaN		0	4129
ct3_leviv_2a_21	2178	3989	ct3_leviv_2a_21_3	+	4129			Atkins.1/PDB:3MMP_F-RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	4129
ct3_leviv_2a_22	42	1973	ct3_leviv_2a_22_1	+	4729		PFAM:PF03863.12	head-maturation-protease	phrogs_hmm	hypothetical_protein	NaN		0	4729
ct3_leviv_2a_22	2028	2573	ct3_leviv_2a_22_2	+	4729			hypothetical protein		hypothetical_protein	NaN		0	4729
ct3_leviv_2a_22	2573	4696	ct3_leviv_2a_22_3	+	4729		PDB:3MMP_F	RNA-dependent-RNA-polymerase	rdrp_hall_hmm	common_virus	NaN		0	4729
ct3_leviv_2a_23	166	1464	ct3_leviv_2a_23_1	+	3709		PDB:5TC1_M	Capsid-protein	hallmark_hmm	common_virus	NaN		0	3709
ct3_leviv_2a_23	1512	1904	ct3_leviv_2a_23_2	+	3709		PDB:3RLK_A	Beta-barrel-protein	hallmark_hmm	common_virus	NaN		0	3709
