seq_name	n_genes_with_taxonomy	agreement	taxid	lineage
NC_002700.2	2	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074160.1	2	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073880.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074514.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074345.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074055.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074008.1	2	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074532.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074364.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074544.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_028902.1	4	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074151.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073801.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074111.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073987.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074522.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074439.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074513.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074323.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074200.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074327.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074175.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679782.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073783.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073873.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074570.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074317.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
HM066936.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074172.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074081.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
FJ483840.1	4	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074365.1	2	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074446.1	2	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073769.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073944.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073798.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073864.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074120.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074426.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074350.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679569.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073857.1	2	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074580.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074091.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074000.1	2	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073780.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679609.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074357.1	2	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074101.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073763.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074298.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679488.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074105.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074128.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073924.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073812.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074053.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074385.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074229.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679731.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074616.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074271.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074410.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679799.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074033.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074208.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074158.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ680325.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073799.1	2	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679641.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073862.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074358.1	2	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073952.1	2	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679701.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074405.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074443.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074239.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074076.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ680335.1	2	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074187.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073804.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074383.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073840.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074281.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679640.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073830.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074082.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679664.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074363.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073951.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074287.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073972.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679749.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679520.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_074438.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679745.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073990.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073793.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
MZ679708.1	3	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
NC_073986.1	2	1.0000	13230	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
