contig	input_name	organism	virus_seq_length	end_feature	gene_count	virion_hallmark_count	rep_hallmark_count	RDRP_hallmark_count	virion_hallmark_genes	rep_hallmark_genes	RDRP_hallmark_genes	taxonomy_hierarchy	ORF_caller	gcode	avg_read_depth
ct3_leviv_2a_1	NC_002700.2 |Acinetobacter phage AP205, complete genome	Apeevirus sp. ct9T6V3	4268	None	3	1	0	1	minor capsid protein		RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Leviviricetes;o_Norzivirales;f_Duinviridae;g_Apeevirus	prodigal-gv	11	NaN
ct3_leviv_2a_10	NC_074544.1 |SsRNA phage Zoerhiza.2_19 genomic sequence	Steitzviridae sp. ctEFXDM	4744	None	4	0	0	1			Atkins.1/PDB:3MMP_F RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Leviviricetes;o_Timlovirales;f_Steitzviridae	prodigal-gv	11	NaN
ct3_leviv_2a_100	NC_073986.1 |SsRNA phage SRR6960551_5 genomic sequence	Loslovirus sp. ctNEANT	3259	None	3	1	0	1	Capsid protein		RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Leviviricetes;o_Norzivirales;f_Fiersviridae;g_Loslovirus	prodigal-gv	11	NaN
ct3_leviv_2a_11	NC_028902.1 |Enterobacteria phage FI 4184 b, complete genome	Qubevirus sp. ctWROKX	4184	None	4	3	0	1	minor capsid protein|Beta barrel protein|Beta barrel protein		RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Leviviricetes;o_Norzivirales;f_Fiersviridae;g_Qubevirus	prodigal-gv	11	NaN
ct3_leviv_2a_12	NC_074151.1 |SsRNA phage SRR6960509_14 genomic sequence	Fahrmivirus sp. ct712UF	4210	None	3	1	0	1	Capsid protein		RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Leviviricetes;o_Norzivirales;f_Solspiviridae;g_Fahrmivirus	prodigal-gv	11	NaN
ct3_leviv_2a_13	NC_073801.1 |SsRNA phage SRR5466364_2 genomic sequence	Lehptevirus sp. ct72492	3590	None	4	1	0	1	Capsid protein		RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Leviviricetes;o_Norzivirales;f_Atkinsviridae;g_Lehptevirus	prodigal-gv	11	NaN
ct3_leviv_2a_14	NC_074111.1 |SsRNA phage SRR7976310_5 genomic sequence	Tahluvirus sp. ctE18KX	4313	None	5	2	0	1	Capsid protein|Beta barrel protein		RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Leviviricetes;o_Norzivirales;f_Fiersviridae;g_Tahluvirus	prodigal-gv	11	NaN
ct3_leviv_2a_15	NC_073987.1 |SsRNA phage Gephyllon.4_22 genomic sequence	Lulohlevirus sp. ct7E1N7	3708	None	3	2	0	1	Capsid protein|Beta barrel protein		RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Leviviricetes;o_Norzivirales;f_Fiersviridae;g_Lulohlevirus	prodigal-gv	11	NaN
ct3_leviv_2a_16	NC_074522.1 |SsRNA phage Gephyllon.4_1 genomic sequence	Weheuvirus sp. ct2BV73	4493	None	4	0	0	1			Atkins.1/PDB:3MMP_F RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Leviviricetes;o_Timlovirales;f_Steitzviridae;g_Weheuvirus	prodigal-gv	11	NaN
ct3_leviv_2a_17	NC_074439.1 |SsRNA phage Gerhypos.4_47 genomic sequence	Molucevirus sp. ct4E7TM	3668	None	3	1	0	1	Capsid protein		RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Lenarviricota;c_Leviviricetes;o_Timlovirales;f_Steitzviridae;g_Molucevirus	prodigal-gv	11	NaN
