gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
NC_074560.1_CDS_0001	589	927	+	NC_074560.1	30.3	44	135.0	0.607	3.317e-39	p256451 VI_01358	44	187.451935	8.148022900740171e-55	No_custom_HMM	No_custom_HMM	No_custom_HMM	44	Pyrodigal-gv_0.3.1	CDS	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0002	942	1127	+	NC_074560.1	9.2	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0003	1173	1922	+	NC_074560.1	72.3	8330	104.0	0.3	1.905e-26	p339762 VI_00685	8330	104.028603	1.795903528779938e-29	No_custom_HMM	No_custom_HMM	No_custom_HMM	8330	Pyrodigal-gv_0.3.1	CDS	#ffdf59	genome terminal protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0004	1885	3960	+	NC_074560.1	225.9	1907	107.0	0.217	2.697e-25	NC_001825_p5	1907	262.513763	1.652174132072812e-77	No_custom_HMM	No_custom_HMM	No_custom_HMM	1907	Pyrodigal-gv_0.3.1	CDS	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0005	3957	4175	+	NC_074560.1	11.8	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0006	4165	4365	+	NC_074560.1	20.2	3502	74.0	0.553	1.192e-18	p113785 VI_00114	3502	72.84304	5.2143565176769796e-20	No_custom_HMM	No_custom_HMM	No_custom_HMM	3502	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0007	4379	4516	+	NC_074560.1	6.1	9714	68.0	0.859	2.055e-17	p339759 VI_00685	9714	74.02285	1.2755790676030802e-20	No_custom_HMM	No_custom_HMM	No_custom_HMM	9714	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0008	4485	4739	+	NC_074560.1	25.3	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0009	4876	5082	+	NC_074560.1	25.5	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0010	5293	6030	+	NC_074560.1	74.7	14882	409.0	0.852	8.138000000000001e-132	NC_005258_p11	14882	368.028961	4.425453739961529e-110	No_custom_HMM	No_custom_HMM	No_custom_HMM	14882	Pyrodigal-gv_0.3.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
