contig	input_name	organism	virus_seq_length	end_feature	gene_count	virion_hallmark_count	rep_hallmark_count	RDRP_hallmark_count	virion_hallmark_genes	rep_hallmark_genes	RDRP_hallmark_genes	taxonomy_hierarchy	ORF_caller	gcode	avg_read_depth
ct3_ERR10905741_1b_100	u1866930ctg_len-45196_circular-yes_depth-37-34-29_mult-1.00 (with DTR)	Caudoviricetes sp. ctSCUO3	45226	DTR	62	3	1	0	tail protein |Major Capsid Protein|Large Terminase	phage replisome organiser		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_ERR10905741_1b_108@C175	u4456518ctg_len-4263662_circular-yes_depth-38-27-22_mult-1.00 (with DTR)	Caudoviricetes sp. ctQKLKT	27778	None	28	4	0	0	Large Terminase|Portal protein|Major Capsid protein|major tail protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_ERR10905741_1b_108@C135	u4456518ctg_len-4263662_circular-yes_depth-38-27-22_mult-1.00 (with DTR)	Caudoviricetes sp. ct84MOL	63438	None	49	3	0	0	major capsid subunit gpT|Portal protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_ERR10905741_1b_109	u4337485ctg_len-40048_circular-yes_depth-38-38-9_mult-1.00 (with DTR)	Caudoviricetes sp. ctJWJYQ	40078	DTR	66	8	0	0	Head Tail Connector Protein|Major Capsid Protein|Major Capsid protein|Portal protein|Large Terminase|Large Terminase|minor tail protein|Minor capsid protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_ERR10905741_1b_116	u2598907ctg_len-38882_circular-yes_depth-40-30-10_mult-1.00 (with DTR)	Caudoviricetes sp. ct8FDGW	38912	DTR	62	8	0	0	minor tail protein|Minor capsid protein|Head Tail Connector Protein|Major Capsid Protein|Major Capsid protein|Portal protein|Large Terminase|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_ERR10905741_1b_12@C117	u3069703ctg_len-2207631_circular-yes_depth-536-514-490_mult-1.00 (with DTR)	Caudoviricetes sp. ctR4EQ2	13006	None	13	3	0	0	Major Capsid Protein|Portal protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_ERR10905741_1b_121	u4492559ctg_len-25309_circular-yes_depth-73-6-1_mult-1.00 (with DTR)	unclassified virus sp. ctI8SFF	25339	DTR	42	2	0	0	Tail collar fibre protein|Tail collar fibre protein				prodigal-gv	11	NaN
ct3_ERR10905741_1b_122@C181	u1948574ctg_len-3491281_circular-yes_depth-28-27-17_mult-1.00 (with DTR)	unclassified virus sp. ctIYJYP	8649	None	14	2	0	0	phage terminase, small subunit, putative, P27 family|phage major capsid protein, HK97 family				prodigal-gv	11	NaN
ct3_ERR10905741_1b_123@C284	u1779874ctg_len-3147422_circular-yes_depth-26-26-21_mult-1.00 (with DTR)	Caudoviricetes sp. ctN1ZER	26592	None	26	2	0	0	Major Capsid Protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_ERR10905741_1b_123@C166	u1779874ctg_len-3147422_circular-yes_depth-26-26-21_mult-1.00 (with DTR)	Caudoviricetes sp. ct7LWET	57095	None	61	12	3	0	tail protein|Distal Tail Protein|tail tape measure protein |tail tube protein|tail component|type I neck protein|Head Tail Connector protein|Head Tail Connector Protein|Major Capsid protein|Portal|Large Terminase|Small Terminase	Helicase of the snf2 family|dsDNA helicase|DNA Polymerase I		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
