contig	input_name	organism	virus_seq_length	end_feature	gene_count	virion_hallmark_count	rep_hallmark_count	RDRP_hallmark_count	virion_hallmark_genes	rep_hallmark_genes	RDRP_hallmark_genes	taxonomy_hierarchy	ORF_caller	gcode	avg_read_depth
ct3_picob_2a_1	NC_078097.1 |Picobirnavirus Equ3 segment 1, complete sequence	Picobirnavirus sp. ctYT05B	2494	None	2	1	0	0	capsid			d_Viruses;-_Riboviria;k_Orthornavirae;p_Pisuviricota;c_Duplopiviricetes;o_Durnavirales;f_Picobirnaviridae;g_Picobirnavirus	prodigal-gv	11	NaN
ct3_picob_2a_10	NC_035206.1 |Picobirnavirus dog/KNA/2015 strain PBV/Dog/KNA/RVC7/2015 RNA-dependent RNA polymerase gene, complete cds	Picobirnavirus sp. ct2FWGR	1689	None	1	0	0	1			RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Pisuviricota;c_Duplopiviricetes;o_Durnavirales;f_Picobirnaviridae;g_Picobirnavirus	prodigal-gv	11	NaN
ct3_picob_2a_11	NC_034452.1 |Picobirnavirus green monkey/KNA/2015 strain PBV/Simian/KNA/08984/2015 RNA-dependent RNA polymerase gene, complete cds	Picobirnavirus sp. ctWCYRF	1707	None	1	0	0	1			RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Pisuviricota;c_Duplopiviricetes;o_Durnavirales;f_Picobirnaviridae;g_Picobirnavirus	prodigal-gv	11	NaN
ct3_picob_2a_12	NC_029801.1 |Porcine picobirnavirus strain 221/04-16/ITA/2004 clone LA-5 segment L, complete sequence	Picobirnavirus sp. ct273S7	2666	None	2	1	0	0	capsid			d_Viruses;-_Riboviria;k_Orthornavirae;p_Pisuviricota;c_Duplopiviricetes;o_Durnavirales;f_Picobirnaviridae;g_Picobirnavirus	prodigal-gv	11	NaN
ct3_picob_2a_13	NC_029802.1 |Porcine picobirnavirus strain 221/04-16/ITA/2004 segment S, complete sequence	Picobirnavirus sp. ctDLABP	1730	None	1	0	0	1			RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Pisuviricota;c_Duplopiviricetes;o_Durnavirales;f_Picobirnaviridae;g_Picobirnavirus	prodigal-gv	11	NaN
ct3_picob_2a_14	NC_007026.1 |Human picobirnavirus RNA segment 1, complete sequence	Orthopicobirnavirus sp. ct6DJQ3	2525	None	2	1	0	0	capsid			d_Viruses;-_Riboviria;k_Orthornavirae;p_Pisuviricota;c_Duplopiviricetes;o_Durnavirales;f_Picobirnaviridae;g_Orthopicobirnavirus	prodigal-gv	11	NaN
ct3_picob_2a_15	NC_007027.1 |Human picobirnavirus RNA segment 2, complete sequence	Orthopicobirnavirus sp. ctJROXI	1745	None	1	0	0	1			RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Pisuviricota;c_Duplopiviricetes;o_Durnavirales;f_Picobirnaviridae;g_Orthopicobirnavirus	prodigal-gv	11	NaN
ct3_picob_2a_16	OM892324.1 |MAG: Picobirnavirus sp. isolate 216Picobi, complete genome	Picobirnavirus sp. ctSIKE4	1537	None	1	0	0	1			RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Pisuviricota;c_Duplopiviricetes;o_Durnavirales;f_Picobirnaviridae;g_Picobirnavirus	prodigal-gv	11	NaN
ct3_picob_2a_17	ON125118.1 |Freshwater macrophyte associated picobirna-like virus 1 isolate DS_260, complete genome	Picobirnaviridae sp. ct16BVA	3159	None	2	0	0	1			RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Pisuviricota;c_Duplopiviricetes;o_Durnavirales;f_Picobirnaviridae	prodigal-gv	11	NaN
ct3_picob_2a_18	MT846991.1 |Picobirnavirus sp. strain ZLY1_ct164, complete genome	Picobirnavirus sp. ct3GZZZ	4744	None	5	1	0	1	capsid		RNA dependent RNA polymerase	d_Viruses;-_Riboviria;k_Orthornavirae;p_Pisuviricota;c_Duplopiviricetes;o_Durnavirales;f_Picobirnaviridae;g_Picobirnavirus	prodigal-gv	11	NaN
