Description	Count	Contig
CDS	3	ct3_DRR290133_1b_218@C203
connector	0	ct3_DRR290133_1b_218@C203
DNA, RNA and nucleotide metabolism	0	ct3_DRR290133_1b_218@C203
head and packaging	2	ct3_DRR290133_1b_218@C203
integration and excision	0	ct3_DRR290133_1b_218@C203
lysis	0	ct3_DRR290133_1b_218@C203
moron, auxiliary metabolic gene and host takeover	0	ct3_DRR290133_1b_218@C203
other	0	ct3_DRR290133_1b_218@C203
tail	0	ct3_DRR290133_1b_218@C203
transcription regulation	0	ct3_DRR290133_1b_218@C203
unknown function	1	ct3_DRR290133_1b_218@C203
VFDB_Virulence_Factors	0	ct3_DRR290133_1b_218@C203
CARD_AMR	0	ct3_DRR290133_1b_218@C203
ACR_anti_crispr	0	ct3_DRR290133_1b_218@C203
Defensefinder	0	ct3_DRR290133_1b_218@C203
Netflax	0	ct3_DRR290133_1b_218@C203
CDS	3	ct3_DRR290133_1b_218@C595
connector	0	ct3_DRR290133_1b_218@C595
DNA, RNA and nucleotide metabolism	0	ct3_DRR290133_1b_218@C595
head and packaging	1	ct3_DRR290133_1b_218@C595
integration and excision	0	ct3_DRR290133_1b_218@C595
lysis	0	ct3_DRR290133_1b_218@C595
moron, auxiliary metabolic gene and host takeover	0	ct3_DRR290133_1b_218@C595
other	0	ct3_DRR290133_1b_218@C595
tail	1	ct3_DRR290133_1b_218@C595
transcription regulation	0	ct3_DRR290133_1b_218@C595
unknown function	1	ct3_DRR290133_1b_218@C595
VFDB_Virulence_Factors	0	ct3_DRR290133_1b_218@C595
CARD_AMR	0	ct3_DRR290133_1b_218@C595
ACR_anti_crispr	0	ct3_DRR290133_1b_218@C595
Defensefinder	0	ct3_DRR290133_1b_218@C595
Netflax	0	ct3_DRR290133_1b_218@C595
CDS	21	ct3_DRR290133_1b_157@C38
connector	0	ct3_DRR290133_1b_157@C38
DNA, RNA and nucleotide metabolism	1	ct3_DRR290133_1b_157@C38
head and packaging	0	ct3_DRR290133_1b_157@C38
integration and excision	0	ct3_DRR290133_1b_157@C38
lysis	0	ct3_DRR290133_1b_157@C38
moron, auxiliary metabolic gene and host takeover	1	ct3_DRR290133_1b_157@C38
other	1	ct3_DRR290133_1b_157@C38
tail	13	ct3_DRR290133_1b_157@C38
transcription regulation	1	ct3_DRR290133_1b_157@C38
unknown function	4	ct3_DRR290133_1b_157@C38
VFDB_Virulence_Factors	0	ct3_DRR290133_1b_157@C38
CARD_AMR	0	ct3_DRR290133_1b_157@C38
ACR_anti_crispr	0	ct3_DRR290133_1b_157@C38
Defensefinder	0	ct3_DRR290133_1b_157@C38
Netflax	0	ct3_DRR290133_1b_157@C38
CDS	14	ct3_DRR290133_1b_57@C159
connector	1	ct3_DRR290133_1b_57@C159
DNA, RNA and nucleotide metabolism	0	ct3_DRR290133_1b_57@C159
head and packaging	4	ct3_DRR290133_1b_57@C159
integration and excision	0	ct3_DRR290133_1b_57@C159
lysis	0	ct3_DRR290133_1b_57@C159
moron, auxiliary metabolic gene and host takeover	2	ct3_DRR290133_1b_57@C159
other	0	ct3_DRR290133_1b_57@C159
tail	3	ct3_DRR290133_1b_57@C159
transcription regulation	1	ct3_DRR290133_1b_57@C159
unknown function	3	ct3_DRR290133_1b_57@C159
VFDB_Virulence_Factors	1	ct3_DRR290133_1b_57@C159
CARD_AMR	0	ct3_DRR290133_1b_57@C159
ACR_anti_crispr	0	ct3_DRR290133_1b_57@C159
Defensefinder	0	ct3_DRR290133_1b_57@C159
Netflax	0	ct3_DRR290133_1b_57@C159
CDS	27	ct3_DRR290133_1b_152@C163
connector	0	ct3_DRR290133_1b_152@C163
DNA, RNA and nucleotide metabolism	0	ct3_DRR290133_1b_152@C163
head and packaging	1	ct3_DRR290133_1b_152@C163
integration and excision	0	ct3_DRR290133_1b_152@C163
lysis	4	ct3_DRR290133_1b_152@C163
moron, auxiliary metabolic gene and host takeover	2	ct3_DRR290133_1b_152@C163
other	2	ct3_DRR290133_1b_152@C163
tail	11	ct3_DRR290133_1b_152@C163
transcription regulation	1	ct3_DRR290133_1b_152@C163
unknown function	6	ct3_DRR290133_1b_152@C163
VFDB_Virulence_Factors	2	ct3_DRR290133_1b_152@C163
CARD_AMR	0	ct3_DRR290133_1b_152@C163
ACR_anti_crispr	0	ct3_DRR290133_1b_152@C163
Defensefinder	0	ct3_DRR290133_1b_152@C163
Netflax	0	ct3_DRR290133_1b_152@C163
CDS	594	ct3_DRR290133_1b_275
