gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
MT310045.1_CDS_0001	1	1581	+	MT310045.1	156.3	514	469.0	0.6	2.157e-149	GQ153913_p9	514	735.514709	6.731023353446666e-221	No_custom_HMM	No_custom_HMM	No_custom_HMM	514	Pyrodigal-gv_0.3.1	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	15
MT310045.1_CDS_0002	1745	2512	+	MT310045.1	106.5	22637	96.0	0.545	8.902e-24	KT264834_p3	11693	112.947639	4.6704650416270475e-32	No_custom_HMM	No_custom_HMM	No_custom_HMM	22637	Pyrodigal-gv_0.3.1	CDS	#07e9a2	pilot protein for DNA ejection	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	15
MT310045.1_CDS_0003	2642	3172	+	MT310045.1	32.4	1642	102.0	0.523	1.663e-27	KT264820_p5	1642	129.485138	2.008768041176089e-37	No_custom_HMM	No_custom_HMM	No_custom_HMM	1642	Pyrodigal-gv_0.3.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	15
MT310045.1_CDS_0004	3412	4329	+	MT310045.1	54.4	942	283.0	0.563	6.626000000000001e-87	NC_002643_p1	942	390.446503	3.576764215876593e-116	No_custom_HMM	No_custom_HMM	No_custom_HMM	942	Pyrodigal-gv_0.3.1	CDS	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	15
MT310045.1_CDS_0005	4326	4586	+	MT310045.1	33.1	1670	84.0	0.532	2.7579999999999996e-22	NC_022790_p6	1670	83.222801	1.8498909093657892e-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	1670	Pyrodigal-gv_0.3.1	CDS	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	15
MW202567.1_CDS_0001	1	291	+	MW202567.1	35.2	1670	94.0	0.57	1.366e-25	NC_022790_p6	1670	92.102898	3.139432489944342e-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	1670	Pyrodigal-gv_0.3.1	CDS	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MW202567.1_CDS_0002	295	1875	+	MW202567.1	211.3	514	452.0	0.567	2.9560000000000003e-143	GQ153913_p9	514	729.031677	6.203369184795746e-219	No_custom_HMM	No_custom_HMM	No_custom_HMM	514	Pyrodigal-gv_0.3.1	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MW202567.1_CDS_0003	1884	2465	+	MW202567.1	90.1	16516	91.0	0.461	4.6579999999999995e-23	NC_002180_p2	8693	120.380913	2.5132964765321426e-34	No_custom_HMM	No_custom_HMM	No_custom_HMM	16516	Pyrodigal-gv_0.3.1	CDS	#07e9a2	minor tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MW202567.1_CDS_0004	2467	2997	+	MW202567.1	58.2	1642	99.0	0.433	2.0690000000000003e-26	KT264820_p5	1642	118.981682	3.451891104833919e-34	No_custom_HMM	No_custom_HMM	No_custom_HMM	1642	Pyrodigal-gv_0.3.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MW202567.1_CDS_0005	3487	3254	-	MW202567.1	7.7	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MW202567.1_CDS_0006	3675	3794	+	MW202567.1	13.3	10695	36.0	0.449	2.942e-06	NC_001998_p8	10695	35.446198	1.6649181562700733e-08	No_custom_HMM	No_custom_HMM	No_custom_HMM	10695	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MW202567.1_CDS_0007	3805	4692	+	MW202567.1	74.2	942	323.0	0.632	5.973e-101	NC_002643_p1	942	405.287903	1.133380839623511e-120	No_custom_HMM	No_custom_HMM	No_custom_HMM	942	Pyrodigal-gv_0.3.1	CDS	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
