contig	input_name	organism	virus_seq_length	end_feature	gene_count	virion_hallmark_count	rep_hallmark_count	RDRP_hallmark_count	virion_hallmark_genes	rep_hallmark_genes	RDRP_hallmark_genes	taxonomy_hierarchy	ORF_caller	gcode	avg_read_depth
ct3_malgr_2a_1	MT310045.1 |MAG: Microvirus sp. isolate 6538_42, complete genome	Microviridae sp. ctIHVRY	4589	None	5	3	1	0	Major Capsid protein|minor capsid protein |Scaffold protein	Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales;f_Microviridae	prodigal-gv	15	NaN
ct3_malgr_2a_10	MH572358.1 |Microviridae sp. isolate SD_SC_40, complete genome	Petitvirales sp. ct3PENS	4388	None	5	2	1	0	Major Capsid Protein|minor capsid protein 	Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales	prodigal-gv	11	NaN
ct3_malgr_2a_100	MN862334.1 |Trichosanthes kirilowii gokushovirus strain pt111-gok-2, complete genome	Microviridae sp. ctOFREQ	4756	None	7	3	1	0	Major Capsid Protein|minor capsid protein |Scaffold protein	Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales;f_Microviridae	prodigal-gv	11	NaN
ct3_malgr_2a_11	MG945466.1 |UNVERIFIED: Microviridae sp. isolate 243-1711, complete genome	Petitvirales sp. ctS7PKH	6112	None	6	2	1	0	Major Capsid Protein|minor capsid protein 	Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales	prodigal-gv	11	NaN
ct3_malgr_2a_12	KX266398.1 |Enterobacteria phage ID11 clone gamma_6E_F182_2, complete genome	Gequatrovirus sp. ct3FR60	5577	None	5	4	1	0	Scaffold protein|capsid protein|Major Capsid Protein|Pilot protein	Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales;f_Microviridae;-_Bullavirinae;g_Gequatrovirus	prodigal-gv	11	NaN
ct3_malgr_2a_13	MH616715.1 |MAG: Microviridae sp. isolate ctba871, complete genome	Microviridae sp. ct9L4QH	5698	None	8	2	1	0	Major Capsid Protein|DNA pilot protein	Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales;f_Microviridae	prodigal-gv	11	NaN
ct3_malgr_2a_14	MT208595.1 |MAG: Microviridae sp. isolate CN7_L19_307, complete genome	Microviridae sp. ct9Y9EH	4423	None	5	3	1	0	Capsid protein|minor capsid protein |Scaffold protein	Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales;f_Microviridae	prodigal-gv	11	NaN
ct3_malgr_2a_15	MT202150.1 |MAG: Microviridae sp. isolate CN7_L15_521, complete genome	Microviridae sp. ctKNFW3	4550	None	8	3	2	0	Capsid protein|minor capsid protein |Scaffold protein	Rep protein|Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales;f_Microviridae	prodigal-gv	11	NaN
ct3_malgr_2a_16	MT310140.1 |MAG: Microvirus sp. isolate 6424_95, complete genome	Microviridae sp. ct2N9UR	4457	None	7	3	2	0	Major Capsid protein|minor capsid protein |Scaffold protein	Rep protein|Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales;f_Microviridae	prodigal-gv	11	NaN
ct3_malgr_2a_17	OM869692.1 |Dipodfec virus RodF1_80, complete genome	Petitvirales sp. ctXDXP0	4633	None	7	2	1	0	Major Capsid Protein|DNA pilot protein	Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales	prodigal-gv	11	NaN
ct3_malgr_2a_18	MT310192.1 |MAG: Microvirus sp. isolate 1712115_99, complete genome	Microviridae sp. ctWVKGL	4137	None	5	2	1	0	Major Capsid Protein|DNA pilot protein	Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales;f_Microviridae	prodigal-gv	11	NaN
ct3_malgr_2a_19	MT310098.1 |MAG: Microvirus sp. isolate 6434_48, complete genome	Microviridae sp. ctR27NE	4568	None	6	3	1	0	Major Capsid protein|minor capsid protein |Scaffold protein	Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales;f_Microviridae	prodigal-gv	11	NaN
ct3_malgr_2a_2	MW202567.1 |Microviridae sp. isolate ct5OK835, complete genome	Microviridae sp. ctRQC8N	4763	None	7	3	1	0	Major Capsid protein|minor capsid protein |Scaffold protein	Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales;f_Microviridae	prodigal-gv	11	NaN
ct3_malgr_2a_20	MT310058.1 |MAG: Microvirus sp. isolate 6538_10, complete genome	Microviridae sp. ct5O748	5998	None	7	2	1	0	Major Capsid Protein|pilot protein	Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales;f_Microviridae	prodigal-gv	11	NaN
ct3_malgr_2a_21	MT310086.1 |MAG: Microvirus sp. isolate 6434_84, complete genome	Microviridae sp. ctU4J2N	4155	None	5	3	1	0	Capsid protein|minor capsid protein |Scaffold protein	Rep protein		d_Viruses;-_Monodnaviria;k_Sangervirae;p_Phixviricota;c_Malgrandaviricetes;o_Petitvirales;f_Microviridae	prodigal-gv	11	NaN
