gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_1	3	266	264	-1	0.568	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_2	276	656	381	-1	0.556	11	None	GENOMAD.197716.VP	8.895e-06	46	0	0	1	1246	Caudoviricetes	NA	NA	PF07141;COG2826	Putative bacteriophage terminase small subunit
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_3	818	1537	720	1	0.589	11	GGAG/GAGG	GENOMAD.017296.VV	4.649e-09	59	0	0	1	1246	Caudoviricetes	NA	NA	PF04233;TIGR01641	phage putative head morphogenesis protein, SPP1 gp7 family
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_4	1554	1874	321	1	0.604	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_5	1871	2980	1110	-1	0.600	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_6	2977	3363	387	-1	0.587	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_7	3419	3841	423	1	0.574	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_8	3834	4280	447	1	0.586	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_9	4383	5279	897	1	0.575	11	GGAGG	GENOMAD.026523.VV	1.719e-16	83	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_10	5266	6105	840	1	0.511	11	GGA/GAG/AGG	GENOMAD.015316.VV	1.539e-60	212	0	0	0	1246	Caudoviricetes	NA	NA	PF03452;K22844;TIGR03469;COG1216	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_11	6080	6367	288	-1	0.451	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_12	6525	7352	828	1	0.530	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_13	7467	7820	354	1	0.534	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_14	7817	8860	1044	1	0.603	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_15	8853	9560	708	1	0.581	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_16	9551	10252	702	1	0.537	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_17	10249	10698	450	1	0.556	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_18	10695	12038	1344	1	0.600	11	AGGAG	GENOMAD.111070.VC	0.0002367	46	0	0	0	1246	Caudoviricetes	NA	NA	PF13203;PF16786;COG3864	Putative metallopeptidase domain; Recombination enhancement, RecA-dependent nuclease
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_19	12041	12436	396	1	0.611	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_20	12408	13760	1353	1	0.573	11	AGGAG	GENOMAD.106707.VV	1.337e-18	92	0	0	0	1246	Caudoviricetes	NA	NA	PF08423;COG3598;TIGR03878	RecA-family ATPase
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_21	13811	14119	309	1	0.547	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_22	14221	14946	726	1	0.592	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_23	14946	15257	312	1	0.551	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_24	15250	15486	237	1	0.544	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_25	15665	17926	2262	1	0.571	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_26	17953	18159	207	1	0.531	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_27	18188	19681	1494	1	0.612	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_28	19668	20189	522	1	0.559	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_29	20167	20730	564	1	0.603	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_30	20727	20930	204	1	0.603	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_31	20934	24365	3432	1	0.583	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_32	24348	24551	204	-1	0.554	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_33	24559	25140	582	-1	0.646	11	None	GENOMAD.190563.VV	4.13e-06	49	0	0	1	1246	Caudoviricetes	NA	NA	PF05069;TIGR01635;COG5005	phage virion morphogenesis (putative tail completion) protein
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_34	25144	25485	342	-1	0.526	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_35	25485	25901	417	-1	0.564	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_36	25905	26840	936	-1	0.567	11	AGGAG	GENOMAD.085060.VV	3.07e-05	48	0	0	1	1246	Caudoviricetes	NA	NA	PF10124;COG4397	Mu-like prophage major head subunit gpT
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_37	26853	27248	396	-1	0.609	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_38	27248	28447	1200	-1	0.591	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_39	28478	29524	1047	-1	0.577	11	AGGA	GENOMAD.126760.VP	1.239e-26	115	0	0	0	1246	Caudoviricetes	NA	NA	PF18743;COG1591	Holliday junction resolvase, archaeal type
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_40	29603	30730	1128	-1	0.565	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_41	31153	31482	330	-1	0.588	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1681581ctg_len-32526_circular-yes_depth-25-25-1_mult-1.00_42	31614	32555	942	-1	0.600	11	None	GENOMAD.129421.VV	6.591e-11	66	0	0	1	1246	Caudoviricetes	NA	NA	PF04466;PF17288;TIGR01547;COG1783;K06909	phage terminase, large subunit, PBSX family
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_1	5	217	213	-1	0.493	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_2	363	827	465	-1	0.503	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_3	930	1235	306	-1	0.601	11	GGAG/GAGG	GENOMAD.186185.VV	1.188e-41	148	0	0	0	16022	Hukuchivirus P2377	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_4	1240	1617	378	-1	0.664	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
