Description	Count	Contig
CDS	62	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
connector	0	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
DNA, RNA and nucleotide metabolism	7	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
head and packaging	5	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
integration and excision	0	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
lysis	1	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
moron, auxiliary metabolic gene and host takeover	0	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
other	2	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
tail	10	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
transcription regulation	1	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
unknown function	36	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
VFDB_Virulence_Factors	0	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
CARD_AMR	0	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
ACR_anti_crispr	0	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
Defensefinder	0	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
Netflax	0	u73555ctg_len-71923_circular-yes_depth-14-14-11_mult-1.00
CDS	19	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
connector	0	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
DNA, RNA and nucleotide metabolism	0	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
head and packaging	0	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
integration and excision	1	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
lysis	1	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
moron, auxiliary metabolic gene and host takeover	0	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
other	1	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
tail	1	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
transcription regulation	0	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
unknown function	15	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
VFDB_Virulence_Factors	0	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
CARD_AMR	0	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
ACR_anti_crispr	0	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
Defensefinder	0	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
Netflax	0	u1806690ctg_len-11773_circular-yes_depth-12-12-12_mult-1.00
CDS	177	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
connector	3	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
DNA, RNA and nucleotide metabolism	21	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
head and packaging	10	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
integration and excision	6	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
lysis	0	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
moron, auxiliary metabolic gene and host takeover	4	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
other	6	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
tail	9	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
transcription regulation	1	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
unknown function	117	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
VFDB_Virulence_Factors	0	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
CARD_AMR	1	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
ACR_anti_crispr	0	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
Defensefinder	0	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
Netflax	0	u2055891ctg_len-173121_circular-yes_depth-12-12-10_mult-1.00
CDS	17	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
connector	0	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
DNA, RNA and nucleotide metabolism	1	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
head and packaging	1	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
integration and excision	1	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
lysis	0	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
moron, auxiliary metabolic gene and host takeover	0	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
other	0	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
tail	0	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
transcription regulation	0	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
unknown function	14	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
VFDB_Virulence_Factors	0	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
CARD_AMR	0	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
ACR_anti_crispr	0	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
Defensefinder	0	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
Netflax	0	u1023848ctg_len-9268_circular-yes_depth-10-10-10_mult-1.00
CDS	97	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
connector	0	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
DNA, RNA and nucleotide metabolism	7	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
head and packaging	1	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
integration and excision	0	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
lysis	2	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
moron, auxiliary metabolic gene and host takeover	1	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
other	8	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
tail	4	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
transcription regulation	0	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
unknown function	74	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
VFDB_Virulence_Factors	0	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
CARD_AMR	0	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
ACR_anti_crispr	0	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
Defensefinder	0	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
Netflax	0	u1196594ctg_len-69163_circular-yes_depth-15-14-2_mult-1.00
CDS	188	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
connector	1	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
DNA, RNA and nucleotide metabolism	14	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
head and packaging	7	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
integration and excision	4	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
lysis	1	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
moron, auxiliary metabolic gene and host takeover	2	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
other	11	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
tail	14	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
transcription regulation	1	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
unknown function	133	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
VFDB_Virulence_Factors	0	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
CARD_AMR	1	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
ACR_anti_crispr	0	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
Defensefinder	0	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
Netflax	0	u2385349ctg_len-150012_circular-yes_depth-9-8-4_mult-1.00
CDS	218	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
connector	1	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
DNA, RNA and nucleotide metabolism	33	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
head and packaging	3	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
integration and excision	0	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
lysis	0	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
moron, auxiliary metabolic gene and host takeover	10	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
other	14	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
tail	12	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
transcription regulation	0	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
unknown function	145	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
VFDB_Virulence_Factors	5	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
CARD_AMR	1	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
ACR_anti_crispr	0	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
Defensefinder	0	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
Netflax	0	u1449605ctg_len-226555_circular-yes_depth-7-7-5_mult-1.00
CDS	65	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
connector	0	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
DNA, RNA and nucleotide metabolism	6	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
head and packaging	10	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
integration and excision	0	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
lysis	1	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
moron, auxiliary metabolic gene and host takeover	2	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
other	5	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
tail	3	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
transcription regulation	0	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
unknown function	38	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
VFDB_Virulence_Factors	0	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
CARD_AMR	0	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
ACR_anti_crispr	0	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
