contig	gene_start	gene_stop	gene_name	gene_orient	contig_length	dtr_seq	evidence_acession	evidence_description	Evidence_source	vscore_category	chunk_name	chunk_length	chunk_start	chunk_stop
ct3_kalam_2a_1	589	927	ct3_kalam_2a_1_1	+	14852		PDB:1Z9F_A	Single-stranded-DNA-binding-protein	common_virus_hmm	common_virus	NaN		0	14852
ct3_kalam_2a_1	942	1127	ct3_kalam_2a_1_2	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	1173	1922	ct3_kalam_2a_1_3	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	1885	3960	ct3_kalam_2a_1_4	+	14852		PDB:2PYJ_B	DNA-polymerase-B	rep_hall_hmm	common_virus	NaN		0	14852
ct3_kalam_2a_1	3957	4175	ct3_kalam_2a_1_5	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	4165	4365	ct3_kalam_2a_1_6	+	14852		PFAM:PF04358.12	transcriptional-repressor	phrogs_hmm	hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	4379	4516	ct3_kalam_2a_1_7	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	4485	4739	ct3_kalam_2a_1_8	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	4876	5082	ct3_kalam_2a_1_9	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	5293	6030	ct3_kalam_2a_1_10	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	6087	6395	ct3_kalam_2a_1_11	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	6376	7014	ct3_kalam_2a_1_12	+	14852		PDB:4KFU_C	Genome-packaging-NTPase	hallmark_hmm	common_virus	NaN		0	14852
ct3_kalam_2a_1	7328	7582	ct3_kalam_2a_1_13	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	7582	8652	ct3_kalam_2a_1_14	+	14852		PDB:3J31_H	penton-base-protein	hallmark_hmm	common_virus	NaN		0	14852
ct3_kalam_2a_1	8694	8924	ct3_kalam_2a_1_15	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	8928	9119	ct3_kalam_2a_1_16	+	14852		PFAM:PF12841.6	holin	phrogs_hmm	hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	9203	9628	ct3_kalam_2a_1_17	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	9798	9944	ct3_kalam_2a_1_18	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	9956	10231	ct3_kalam_2a_1_19	+	14852		UniProtKB:B6RT55_9VIRU	Minor-capsid-protein-	hallmark_hmm	common_virus	NaN		0	14852
ct3_kalam_2a_1	10235	10849	ct3_kalam_2a_1_20	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	10849	11601	ct3_kalam_2a_1_21	+	14852		COG1705	Flagellum-specific peptidoglycan hydrolase FlgJ [Cell wall/membrane/envelope biogenesis, Cell motility]. 	mmseqs_cdd	nonviral_gene	NaN		0	14852
ct3_kalam_2a_1	11540	12061	ct3_kalam_2a_1_22	+	14852		PFAM:PF08291.10	pentameric-base-spike-protein	phrogs_hmm	hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	12074	12967	ct3_kalam_2a_1_23	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	12971	13849	ct3_kalam_2a_1_24	+	14852			hypothetical protein		hypothetical_protein	NaN		0	14852
ct3_kalam_2a_1	13857	14654	ct3_kalam_2a_1_25	+	14852		PDB:5EMI_A	Cell-wall-hydrolase-autolysin	common_virus_hmm	common_virus	NaN		0	14852
ct3_kalam_2a_10	355	531	ct3_kalam_2a_10_1	+	14844		PFAM:PF13591.5	excisionase	phrogs_hmm	hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	547	1047	ct3_kalam_2a_10_2	+	14844		PFAM:PF17427.1	Single-stranded-DNA-binding-protein	common_virus_hmm	common_virus	NaN		0	14844
ct3_kalam_2a_10	1119	1343	ct3_kalam_2a_10_3	+	14844			hypothetical protein		hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	1402	2139	ct3_kalam_2a_10_4	+	14844			hypothetical protein		hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	2087	4330	ct3_kalam_2a_10_5	+	14844		PDB:2PYJ_B	DNA-polymerase-B	rep_hall_hmm	common_virus	NaN		0	14844
ct3_kalam_2a_10	4347	4547	ct3_kalam_2a_10_6	+	14844		PFAM:PF04358.12	transcriptional-repressor	phrogs_hmm	hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	4561	4737	ct3_kalam_2a_10_7	+	14844			hypothetical protein		hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	4820	5074	ct3_kalam_2a_10_8	+	14844			hypothetical protein		hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	5243	5989	ct3_kalam_2a_10_9	+	14844			hypothetical protein		hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	6335	6973	ct3_kalam_2a_10_10	+	14844		PDB:4KFU_C	Genome-packaging-NTPase	hallmark_hmm	common_virus	NaN		0	14844
ct3_kalam_2a_10	7406	7675	ct3_kalam_2a_10_11	+	14844			hypothetical protein		hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	7675	8745	ct3_kalam_2a_10_12	+	14844		PDB:3J31_H	Major-Capsid-Protein	hallmark_hmm	common_virus	NaN		0	14844
ct3_kalam_2a_10	8787	9017	ct3_kalam_2a_10_13	+	14844			hypothetical protein		hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	9021	9179	ct3_kalam_2a_10_14	+	14844		PFAM:PF12841.6	holin	phrogs_hmm	hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	9253	9684	ct3_kalam_2a_10_15	+	14844			hypothetical protein		hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	9854	10000	ct3_kalam_2a_10_16	+	14844			hypothetical protein		hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	10012	10287	ct3_kalam_2a_10_17	+	14844		UniProtKB:B6RT55_9VIRU	Minor-capsid-protein-	hallmark_hmm	common_virus	NaN		0	14844
ct3_kalam_2a_10	10291	10905	ct3_kalam_2a_10_18	+	14844			hypothetical protein		hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	10909	11661	ct3_kalam_2a_10_19	+	14844		COG1705	Flagellum-specific peptidoglycan hydrolase FlgJ [Cell wall/membrane/envelope biogenesis, Cell motility]. 	mmseqs_cdd	nonviral_gene	NaN		0	14844
ct3_kalam_2a_10	11600	12121	ct3_kalam_2a_10_20	+	14844		PFAM:PF08291.10	pentameric-base-spike-protein	phrogs_hmm	hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	12135	13028	ct3_kalam_2a_10_21	+	14844			hypothetical protein		hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	13032	13913	ct3_kalam_2a_10_22	+	14844			hypothetical protein		hypothetical_protein	NaN		0	14844
ct3_kalam_2a_10	13855	14721	ct3_kalam_2a_10_23	+	14844		PDB:5EMI_A	Cell-wall-hydrolase-autolysin	common_virus_hmm	common_virus	NaN		0	14844
ct3_kalam_2a_11	358	534	ct3_kalam_2a_11_1	+	14935		PFAM:PF13591.5	excisionase	phrogs_hmm	hypothetical_protein	NaN		0	14935
ct3_kalam_2a_11	550	1053	ct3_kalam_2a_11_2	+	14935		PFAM:PF17427.1	Single-stranded-DNA-binding-protein	common_virus_hmm	common_virus	NaN		0	14935
ct3_kalam_2a_11	1125	1349	ct3_kalam_2a_11_3	+	14935			hypothetical protein		hypothetical_protein	NaN		0	14935
ct3_kalam_2a_11	1408	2145	ct3_kalam_2a_11_4	+	14935			hypothetical protein		hypothetical_protein	NaN		0	14935
ct3_kalam_2a_11	2129	4336	ct3_kalam_2a_11_5	+	14935		PDB:2PYJ_B	DNA-polymerase-B	rep_hall_hmm	common_virus	NaN		0	14935
ct3_kalam_2a_11	4352	4552	ct3_kalam_2a_11_6	+	14935		PFAM:PF04358.12	transcriptional-repressor	phrogs_hmm	hypothetical_protein	NaN		0	14935
ct3_kalam_2a_11	4566	4718	ct3_kalam_2a_11_7	+	14935			hypothetical protein		hypothetical_protein	NaN		0	14935
ct3_kalam_2a_11	4693	4833	ct3_kalam_2a_11_8	+	14935			hypothetical protein		hypothetical_protein	NaN		0	14935
ct3_kalam_2a_11	4952	5125	ct3_kalam_2a_11_9	+	14935			hypothetical protein		hypothetical_protein	NaN		0	14935
ct3_kalam_2a_11	5138	5575	ct3_kalam_2a_11_10	+	14935			hypothetical protein		hypothetical_protein	NaN		0	14935
ct3_kalam_2a_11	5993	6235	ct3_kalam_2a_11_11	+	14935			hypothetical protein		hypothetical_protein	NaN		0	14935
ct3_kalam_2a_11	6204	6512	ct3_kalam_2a_11_12	+	14935			hypothetical protein		hypothetical_protein	NaN		0	14935
ct3_kalam_2a_11	6493	7131	ct3_kalam_2a_11_13	+	14935		PDB:4KFU_C	Genome-packaging-NTPase	hallmark_hmm	common_virus	NaN		0	14935
ct3_kalam_2a_11	7445	7699	ct3_kalam_2a_11_14	+	14935			hypothetical protein		hypothetical_protein	NaN		0	14935
ct3_kalam_2a_11	7699	8769	ct3_kalam_2a_11_15	+	14935		PDB:3J31_H	penton-base-protein	hallmark_hmm	common_virus	NaN		0	14935
ct3_kalam_2a_11	8811	9041	ct3_kalam_2a_11_16	+	14935			hypothetical protein		hypothetical_protein	NaN		0	14935
ct3_kalam_2a_11	9045	9251	ct3_kalam_2a_11_17	+	14935		PFAM:PF12841.6	holin	phrogs_hmm	hypothetical_protein	NaN		0	14935
ct3_kalam_2a_11	9331	9762	ct3_kalam_2a_11_18	+	14935			hypothetical protein		hypothetical_protein	NaN		0	14935
