gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
NC_002700.2_CDS_0001	253	1857	+	NC_002700.2	133.8	4286	50.0	0.257	2.53e-08	FJ539134_p1	4286	60.824379	2.664375356804585e-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	4286	Pyrodigal-gv_0.3.1	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_002700.2_CDS_0002	1818	2303	+	NC_002700.2	42.0	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_002700.2_CDS_0003	2307	4172	+	NC_002700.2	89.1	4267	117.0	0.353	1.058e-28	NC_004301_p4	4267	167.034805	1.2466850864685229e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	4267	Pyrodigal-gv_0.3.1	CDS	#ffdf59	RNA replicase beta subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074160.1_CDS_0001	76	1191	+	NC_074160.1	69.9	4286	45.0	0.889	9.512e-07	FJ539134_p1	4286	75.089577	1.2417377315314674e-20	No_custom_HMM	No_custom_HMM	No_custom_HMM	4286	Pyrodigal-gv_0.3.1	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074160.1_CDS_0002	1235	1573	+	NC_074160.1	20.0	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074160.1_CDS_0003	1669	3399	+	NC_074160.1	109.6	4267	237.0	0.385	1.0499999999999999e-67	NC_004301_p4	4267	317.657288	2.901296367265114e-94	No_custom_HMM	No_custom_HMM	No_custom_HMM	4267	Pyrodigal-gv_0.3.1	CDS	#ffdf59	RNA replicase beta subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_073880.1_CDS_0001	96	497	+	NC_073880.1	19.9	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_073880.1_CDS_0002	494	1696	+	NC_073880.1	82.5	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	4286	83.067062	4.6957060276517506e-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	4286	Pyrodigal-gv_0.3.1	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_073880.1_CDS_0003	1744	2175	+	NC_073880.1	15.1	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_073880.1_CDS_0004	2232	4154	+	NC_073880.1	139.3	4267	205.0	0.498	3.3760000000000003e-57	NC_004301_p4	4267	269.28656	1.3097039744867421e-79	No_custom_HMM	No_custom_HMM	No_custom_HMM	4267	Pyrodigal-gv_0.3.1	CDS	#ffdf59	RNA replicase beta subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074514.1_CDS_0001	60	1136	+	NC_074514.1	50.0	4286	48.0	0.736	1.785e-07	FJ539134_p1	4286	51.338589	2.022621155202954e-13	No_custom_HMM	No_custom_HMM	No_custom_HMM	4286	Pyrodigal-gv_0.3.1	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074514.1_CDS_0002	1169	1558	+	NC_074514.1	28.8	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074514.1_CDS_0003	1661	3643	+	NC_074514.1	104.1	4267	131.0	0.355	3.655e-33	NC_004301_p4	4267	171.688782	4.850318079454882e-50	No_custom_HMM	No_custom_HMM	No_custom_HMM	4267	Pyrodigal-gv_0.3.1	CDS	#ffdf59	RNA replicase beta subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074345.1_CDS_0001	128	1399	+	NC_074345.1	56.5	4286	42.0	0.75	6.693e-06	FJ539134_p1	4286	43.910084	3.643744415238546e-11	No_custom_HMM	No_custom_HMM	No_custom_HMM	4286	Pyrodigal-gv_0.3.1	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074345.1_CDS_0002	1468	1830	+	NC_074345.1	8.2	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074345.1_CDS_0003	1869	2081	+	NC_074345.1	0.9	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074345.1_CDS_0004	2078	2296	+	NC_074345.1	2.6	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074345.1_CDS_0005	2363	4255	+	NC_074345.1	122.0	4267	130.0	0.356	8.639999999999999e-33	NC_004301_p4	4267	158.230103	5.797800483071246e-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	4267	Pyrodigal-gv_0.3.1	CDS	#ffdf59	RNA replicase beta subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074055.1_CDS_0001	91	291	+	NC_074055.1	12.3	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074055.1_CDS_0002	288	1499	+	NC_074055.1	55.5	4286	91.0	0.271	8.366e-21	FJ539134_p1	4286	199.302765	2.3835986289636323e-58	No_custom_HMM	No_custom_HMM	No_custom_HMM	4286	Pyrodigal-gv_0.3.1	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074055.1_CDS_0003	1530	1919	+	NC_074055.1	20.2	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	4419	31.68718	3.0301587458131986e-07	No_custom_HMM	No_custom_HMM	No_custom_HMM	4419	Pyrodigal-gv_0.3.1	CDS	#3e83f6	head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074055.1_CDS_0004	1919	2053	+	NC_074055.1	5.7	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074055.1_CDS_0005	2083	3744	+	NC_074055.1	74.8	4267	338.0	0.449	9.624000000000001e-102	NC_004301_p4	4267	416.325989	3.7114543812107217e-124	No_custom_HMM	No_custom_HMM	No_custom_HMM	4267	Pyrodigal-gv_0.3.1	CDS	#ffdf59	RNA replicase beta subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074008.1_CDS_0001	112	366	+	NC_074008.1	20.5	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
