seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
u2976152ctg_len-53948_circular-yes_depth-15-5-1_mult-1.00	53978	DTR	NA	77	11	0.9995	0.0005	15	86.9998	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3273897ctg_len-56369_circular-yes_depth-41-15-2_mult-1.00	56399	DTR	NA	74	11	0.9995	0.0005	11	95.4596	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1855125ctg_len-52760_circular-yes_depth-36-5-1_mult-1.00	52790	DTR	NA	78	11	0.9995	0.0005	11	104.3904	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4258712ctg_len-33802_circular-yes_depth-16-15-2_mult-1.00	33832	DTR	NA	56	11	0.9995	0.0005	11	39.0099	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4243717ctg_len-29772_circular-yes_depth-35-27-2_mult-1.00	29802	DTR	NA	47	11	0.9995	0.0005	9	45.2373	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3642689ctg_len-37385_circular-yes_depth-6-6-6_mult-1.00	37415	DTR	NA	48	11	0.9995	0.0005	4	20.3169	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u489313ctg_len-49955_circular-yes_depth-17-4-1_mult-1.00	49985	DTR	NA	60	11	0.9995	0.0005	4	34.5742	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1964739ctg_len-31571_circular-yes_depth-622-611-584_mult-1.00	31601	DTR	NA	54	11	0.9995	0.0005	11	38.7509	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u857127ctg_len-37464_circular-yes_depth-14-13-3_mult-1.00	37494	DTR	NA	56	11	0.9995	0.0005	12	32.6737	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u993558ctg_len-31668_circular-yes_depth-445-445-417_mult-1.00	31698	DTR	NA	55	11	0.9995	0.0005	13	38.7578	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1957193ctg_len-31879_circular-yes_depth-842-358-8_mult-1.00	31909	DTR	NA	57	11	0.9995	0.0005	13	40.0572	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4328043ctg_len-31877_circular-yes_depth-364-363-27_mult-1.00	31907	DTR	NA	57	11	0.9995	0.0005	13	38.7578	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2486065ctg_len-50193_circular-yes_depth-25-1-1_mult-1.00	50223	DTR	NA	61	11	0.9995	0.0005	4	33.1154	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1480716ctg_len-49942_circular-yes_depth-60-2-1_mult-1.00	49972	DTR	NA	59	11	0.9995	0.0005	3	31.9129	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u919589ctg_len-31897_circular-yes_depth-366-225-23_mult-1.00	31927	DTR	NA	54	11	0.9995	0.0005	12	36.9031	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4557374ctg_len-29951_circular-yes_depth-82-49-27_mult-1.00	29981	DTR	NA	47	11	0.9995	0.0005	9	47.0552	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4743947ctg_len-37853_circular-yes_depth-68-7-1_mult-1.00	37883	DTR	NA	60	11	0.9995	0.0005	6	39.3379	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4699012ctg_len-28367_circular-yes_depth-17-4-3_mult-1.00	28397	DTR	NA	45	11	0.9995	0.0005	12	49.9089	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2033042ctg_len-31875_circular-yes_depth-747-240-4_mult-1.00	31905	DTR	NA	56	11	0.9995	0.0005	13	37.0396	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1965514ctg_len-1592218_circular-yes_depth-8-7-2_mult-1.00|provirus_1518889_1538034	19146	Provirus	1518889-1538034	27	11	0.9995	0.0005	5	24.5253	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3742221ctg_len-36915_circular-yes_depth-29-25-4_mult-1.00	36945	DTR	NA	64	11	0.9995	0.0005	6	38.5299	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4740299ctg_len-31686_circular-yes_depth-86-77-30_mult-1.00	31716	DTR	NA	51	11	0.9995	0.0005	11	35.3269	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u613841ctg_len-34242_circular-yes_depth-15-13-2_mult-1.00	34272	DTR	NA	54	11	0.9995	0.0005	11	38.4664	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2846476ctg_len-31235_circular-yes_depth-70-54-8_mult-1.00	31265	DTR	NA	54	11	0.9995	0.0005	13	42.1914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u374387ctg_len-57964_circular-yes_depth-9-9-9_mult-1.00	57994	DTR	NA	80	11	0.9995	0.0005	10	72.5642	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3468984ctg_len-27629_circular-yes_depth-9-7-1_mult-1.00	27659	DTR	NA	45	11	0.9995	0.0005	9	43.0682	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2585606ctg_len-28684_circular-yes_depth-17-6-1_mult-1.00	28714	DTR	NA	49	11	0.9995	0.0005	11	45.8975	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u234991ctg_len-3006764_circular-yes_depth-11-11-7_mult-1.00|provirus_2127039_2169706	42668	Provirus	2127039-2169706	58	11	0.9995	0.0005	13	69.1686	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
